Account ID,Token ID,Airdrop Amount,Airdrop Status,Airdrop TX ID
0.0.3948479,0.0.731861,1.944630638,NOT_ASSOCIATED,
0.0.3958740,0.0.731861,0.003162065,SUCCESS,0.0.4138717@1705354298.844376009
0.0.512388,0.0.731861,59.31160894,SUCCESS,0.0.4138717@1705354301.060137252
0.0.1265153,0.0.731861,0.368375927,SUCCESS,0.0.4138717@1705354306.731102190
0.0.732317,0.0.731861,1514.486218,SUCCESS,0.0.4138717@1705354310.958656767
0.0.732798,0.0.731861,0.05055106,SUCCESS,0.0.4138717@1705354317.546507367
0.0.3961176,0.0.731861,0.605129131,NOT_ASSOCIATED,
0.0.3359892,0.0.731861,32796.08446,SUCCESS,0.0.4138717@1705354320.442712087
0.0.165981,0.0.731861,35.39109344,SUCCESS,0.0.4138717@1705354323.154230546
0.0.1094217,0.0.731861,293.5866883,SUCCESS,0.0.4138717@1705354328.720749475
0.0.7951,0.0.731861,49016.61888,SUCCESS,0.0.4138717@1705354333.151522190
0.0.1109942,0.0.731861,5.511436063,SUCCESS,0.0.4138717@1705354339.045942403
0.0.732888,0.0.731861,347.2297845,SUCCESS,0.0.4138717@1705354344.904243702
0.0.1325925,0.0.731861,8297.308534,SUCCESS,0.0.4138717@1705354351.751860371
0.0.1930477,0.0.731861,10459.1128,SUCCESS,0.0.4138717@1705354353.391001572
0.0.1930663,0.0.731861,1708.730721,SUCCESS,0.0.4138717@1705354357.798265040
0.0.665927,0.0.731861,200.8607986,SUCCESS,0.0.4138717@1705354361.492646454
0.0.692862,0.0.731861,106.4576097,SUCCESS,0.0.4138717@1705354365.828526825
0.0.834704,0.0.731861,5048.236325,SUCCESS,0.0.4138717@1705354370.790158947
0.0.842247,0.0.731861,54.4119573,SUCCESS,0.0.4138717@1705354376.163030792
0.0.965222,0.0.731861,978.3434762,SUCCESS,0.0.4138717@1705354380.687041706
0.0.1396279,0.0.731861,737.8853125,SUCCESS,0.0.4138717@1705354386.673548498
0.0.1419835,0.0.731861,626.4149765,SUCCESS,0.0.4138717@1705354392.209397990
0.0.795476,0.0.731861,1237.793876,SUCCESS,0.0.4138717@1705354398.808228215
0.0.1483886,0.0.731861,1768.40638,SUCCESS,0.0.4138717@1705354398.897713218
0.0.1076730,0.0.731861,110.5127592,SUCCESS,0.0.4138717@1705354404.000269872
0.0.1353438,0.0.731861,214.2813998,SUCCESS,0.0.4138717@1705354410.718541003
0.0.641074,0.0.731861,0.442159982,SUCCESS,0.0.4138717@1705354414.391189866
0.0.1424822,0.0.731861,36.68584935,SUCCESS,0.0.4138717@1705354421.643274085
0.0.1309628,0.0.731861,618.8931943,SUCCESS,0.0.4138717@1705354426.476518622
0.0.1152713,0.0.731861,13117.46896,SUCCESS,0.0.4138717@1705354433.943076999
0.0.845642,0.0.731861,0.686670833,SUCCESS,0.0.4138717@1705354435.245179662
0.0.860058,0.0.731861,5976.977398,SUCCESS,0.0.4138717@1705354441.064334407
0.0.1071830,0.0.731861,2.723323798,SUCCESS,0.0.4138717@1705354445.212963039
0.0.525256,0.0.731861,540.095414,SUCCESS,0.0.4138717@1705354451.507083380
0.0.1427613,0.0.731861,6.408813052,SUCCESS,0.0.4138717@1705354455.326514029
0.0.1120955,0.0.731861,14.97009772,SUCCESS,0.0.4138717@1705354461.625786839
0.0.825160,0.0.731861,249.992908,SUCCESS,0.0.4138717@1705354469.075090774
0.0.3854398,0.0.731861,3.738595526,SUCCESS,0.0.4138717@1705354474.848875052
