account,amount,state,token address,pool address,tx id
0.0.5790431,818.3970500774498,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116780.567487737
0.0.4715971,21.17722471502985,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116781.441340718
0.0.697581,769.0350686226799,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116780.289868221
0.0.2582231,6.751747975248128,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116782.518690949
0.0.8142525,151.6179226875101,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1744116779.494363677
0.0.896788,432.2659579157146,SUCCESS,0.0.731861,0.0.3948521&0.0.3961531,0.0.4138717@1744116781.188056847
0.0.7747606,0.1990832338370124,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1744116783.859406119
0.0.965222,266.5697308787894,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804&0.0.3964821&0.0.3964825,0.0.4138717@1744116782.170669676
0.0.2995673,172.3856468570395,SUCCESS,0.0.731861,0.0.3948521&0.0.3961531&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964860,0.0.4138717@1744116781.511114147
0.0.953203,15.73749698343826,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116782.340532917
0.0.8573073,11.73295629868587,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1744116785.228704722
0.0.3948452,162.3897081904556,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116788.602447689
0.0.4321996,0.5430231689414503,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116787.901254414
0.0.7851526,18.77472032470813,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116787.463302786
0.0.7750205,9.710628991915375,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804&0.0.3964827,0.0.4138717@1744116787.337447349
0.0.8045621,7.514945259650378,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1744116787.147217835
