account,amount,state,token address,pool address,tx id
0.0.1096529,0.2346301245537283,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964804,0.0.4138717@1769455819.378821123
0.0.8271908,33.15908240589039,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455820.307908906
0.0.7965397,0.0000227225539759749,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455818.570073847
0.0.720300,0.1696619132535505,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455819.549720267
0.0.4865794,11.55039260606581,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455819.674192655
0.0.1105470,0.005642580794092723,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455818.290542528
0.0.4093788,0.2565499410107243,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1769455819.319589646
0.0.1696471,4.435138893678153,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1769455819.194292641
0.0.7789171,3.195510220470642e-12,FAIL,hbar,0.0.3948521,
0.0.3958740,6.850862937111771e-7,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455822.034332758
0.0.4423729,0.262504201298792,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1769455820.555864492
0.0.7550890,0.07762618521553602,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1769455824.854063018
0.0.3000165,87.30533754872775,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964821,0.0.4138717@1769455825.262687123
0.0.4712184,0.0374224328878004,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964790&0.0.3964800&0.0.3964825&0.0.3964837&0.0.3964840,0.0.4138717@1769455825.414511556
0.0.1353334,0.09938487492500243,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1769455826.885139306
0.0.4313767,0.01264416557295793,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455823.059905236
0.0.3971792,0.01936331125448859,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455827.009591484
0.0.6033605,0.0002414664309146434,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455826.845250389
0.0.845031,0.00001026237794118544,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455825.891515115
0.0.7730513,0.00007239308047951076,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455826.982593357
0.0.1930336,73.81585582965167,SUCCESS,hbar,0.0.3948521&0.0.3964782,0.0.4138717@1769455826.349854837
0.0.862835,13.13839023612869,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964827&0.0.6071911&0.0.7474726,0.0.4138717@1769455831.243396591
0.0.7950871,0.005111014050565427,SUCCESS,hbar,0.0.3948521&0.0.3964821&0.0.3964827,0.0.4138717@1769455828.310924807
0.0.7965399,0.00001907549112248433,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455829.240161035
0.0.2964523,10.68096350798554,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964808,0.0.4138717@1769455830.327160252
0.0.3870061,5.862810592881269,SUCCESS,hbar,0.0.3948521&0.0.4601632,0.0.4138717@1769455832.650011722
0.0.2923216,1.55478213365752,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455833.069884456
0.0.3210690,0.007925944587863885,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455830.612879425
0.0.10031120,0.0001593054570087636,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455830.199095112
0.0.10031122,0.0001599700941491726,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455835.483053689
0.0.10133721,2.01191711841585,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.3964804,0.0.4138717@1769455835.787063453
0.0.7546607,14.73194846058532,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455834.298723276
0.0.860058,12.54871640296026,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455836.562070804
0.0.5182107,0.1680409932694353,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1769455834.810405469
0.0.5119346,1.992520592740305,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1769455833.633914871
0.0.5310061,0.3979385795599303,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1769455834.063087251
0.0.5118232,0.178228931516973,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1769455837.629977133
0.0.5118079,0.7045742404457784,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1769455835.358842426
0.0.4744252,0.004710241100936378,SUCCESS,hbar,0.0.3948521,0.0.4138717@1769455838.352390167
