Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.3948479,0.0.731861,2.64809E-06,NOT_ASSOCIATED,0.0.3948521,
0.0.3958740,0.0.731861,6.01941E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1717451435.219337689
0.0.1265153,0.0.731861,0.376265234,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964815,0.0.4138717@1717451433.592428830
0.0.732798,0.0.731861,0.949580084,SUCCESS,0.0.3948521&0.0.3964790&0.0.3964804,0.0.4138717@1717451435.145120883
0.0.3961176,0.0.731861,7.43E-08,NOT_ASSOCIATED,0.0.3948521,
0.0.165981,0.0.731861,5.72437E-05,SUCCESS,0.0.3948521,0.0.4138717@1717451431.915782229
0.0.7951,0.0.731861,28440.32606,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964808&0.0.3964809&0.0.3964815,0.0.4138717@1717451434.195193740
0.0.1325925,0.0.731861,3428.203535,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1717451434.203304694
0.0.1930477,0.0.731861,1166.338677,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785,0.0.4138717@1717451434.411744433
0.0.1930663,0.0.731861,30.98580731,SUCCESS,0.0.3948521,0.0.4138717@1717451434.420188592
0.0.1008009,0.0.731861,0.985015513,SUCCESS,0.0.3948521&0.0.3964790&0.0.3961531&0.0.3964855,0.0.4138717@1717451433.126888863
0.0.665927,0.0.731861,51.68423553,SUCCESS,0.0.3948521,0.0.4138717@1717451432.014206833
0.0.692862,0.0.731861,203.8279548,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1717451441.582261504
0.0.965222,0.0.731861,667.7938225,SUCCESS,0.0.3948521&0.0.3964834&0.0.3964840&0.0.3964808&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1717451441.426464982
0.0.1396279,0.0.731861,111.1054572,SUCCESS,0.0.3948521,0.0.4138717@1717451439.647779355
0.0.1076730,0.0.731861,4.008676245,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1717451440.068028935
0.0.1152713,0.0.731861,31374.91944,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1717451439.982267878
0.0.919082,0.0.731861,2608.079203,SUCCESS,0.0.3948521&0.0.3964785,0.0.4138717@1717451442.266856108
0.0.1427613,0.0.731861,0.33666821,SUCCESS,0.0.3948521,0.0.4138717@1717451438.976000995
0.0.825160,0.0.731861,0.367145278,SUCCESS,0.0.3948521,0.0.4138717@1717451439.018248018
0.0.2116956,0.0.731861,0.005592818,SUCCESS,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3951117&0.0.3964855,0.0.4138717@1717451440.731593884
0.0.3854398,0.0.731861,0.096084916,SUCCESS,0.0.3948521,0.0.4138717@1717451444.688269556
0.0.2960520,0.0.731861,672.4226002,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1717451443.864204425
0.0.858338,0.0.731861,2.08129E-06,SUCCESS,0.0.3948521,0.0.4138717@1717451443.504147192
0.0.4315617,0.0.731861,1.825700177,SUCCESS,0.0.3948521&0.0.3951117,0.0.4138717@1717451442.177762473
0.0.1018824,0.0.731861,516.5957238,SUCCESS,0.0.3948521&0.0.3964790&0.0.3951117&0.0.3964837&0.0.3964855&0.0.3964804,0.0.4138717@1717451443.335252918
0.0.1744105,0.0.731861,1.28E-07,SUCCESS,0.0.3948521,0.0.4138717@1717451445.420291627
0.0.1097257,0.0.731861,11.54299887,SUCCESS,0.0.3948521&0.0.3964785&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964837&0.0.3964840&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964821&0.0.3964860,0.0.4138717@1717451445.194029163
0.0.3313554,0.0.731861,58.38221804,SUCCESS,0.0.3948521,0.0.4138717@1717451447.697399547
0.0.1338331,0.0.731861,4.560219741,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964804,0.0.4138717@1717451447.298714197
0.0.1133493,0.0.731861,9413.480432,SUCCESS,0.0.3948521&0.0.3964785&0.0.3964790&0.0.3964800&0.0.3951117&0.0.3964834&0.0.3964821&0.0.3964825,0.0.4138717@1717451450.949994709
0.0.1093446,0.0.731861,0.271068091,SUCCESS,0.0.3948521,0.0.4138717@1717451446.982584965
0.0.4544530,0.0.731861,925.796775,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1717451449.425276450
0.0.2822820,0.0.731861,0.153173613,SUCCESS,0.0.3948521,0.0.4138717@1717451447.956186270
0.0.6068244,0.0.731861,12.85177296,SUCCESS,0.0.3948521&0.0.3964840&0.0.3964804&0.0.3964821&0.0.3964825,0.0.4138717@1717451448.480173096
0.0.5118079,0.0.731861,10.61180632,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1717451453.114619046
0.0.5118232,0.0.731861,0.353397868,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1717451451.594645427
0.0.5129249,0.0.731861,9.076597304,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1717451454.614679437
0.0.5119346,0.0.731861,9.417473051,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1717451451.872800656
0.0.5188747,0.0.731861,15.92964521,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1717451455.596141425
0.0.5182107,0.0.731861,0.629232545,NOT_ASSOCIATED,0.0.3948521&0.0.3951117&0.0.3964804,
0.0.1339713,0.0.731861,0.013255002,SUCCESS,0.0.3948521,0.0.4138717@1717451454.872735990
0.0.5119059,0.0.731861,2.861379386,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1717451453.693752762
0.0.5273155,0.0.731861,23.03677127,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1717451455.193327398
0.0.5310061,0.0.731861,1.48586451,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1717451453.483403911
0.0.5117832,0.0.731861,16.51614539,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1717451454.913153427
0.0.4744252,0.0.731861,0.00025841,SUCCESS,0.0.3948521,0.0.4138717@1717451455.402262544
0.0.5687394,0.0.731861,6.19736E-05,NOT_ASSOCIATED,0.0.3948521,
0.0.5807232,0.0.731861,2.95394E-05,SUCCESS,0.0.3948521,0.0.4138717@1717451456.972769665
0.0.5976303,0.0.731861,0.680990618,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1717451458.177726919
0.0.4349708,0.0.731861,0.000512168,SUCCESS,0.0.3948521,0.0.4138717@1717451461.256161433
0.0.6071215,0.0.731861,6.65845E-05,NOT_ASSOCIATED,0.0.3948521,
0.0.846260,0.0.731861,1429.443019,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1717451460.216610335
0.0.4712184,0.0.731861,19.32103132,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3961531&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964815,0.0.4138717@1717451461.333713391
0.0.4340290,0.0.731861,0.484034801,SUCCESS,0.0.3948521,0.0.4138717@1717451458.665276160
0.0.1993418,0.0.731861,1.295463582,SUCCESS,0.0.3948521,0.0.4138717@1717451460.054919006
0.0.838563,0.0.731861,1068.378756,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1717451459.824618601
0.0.4313767,0.0.731861,0.019654945,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1717451461.005909371
0.0.1045561,0.0.731861,0.02029155,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964800,0.0.4138717@1717451460.395664010
0.0.650665,0.0.731861,0.15831638,SUCCESS,0.0.3948521,0.0.4138717@1717451463.738473672
0.0.4865794,0.0.731861,413.5109202,SUCCESS,0.0.3948521,0.0.4138717@1717451463.486483865
0.0.1282331,0.0.731861,42.2625905,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3964804&0.0.3964808,0.0.4138717@1717451466.481021512
0.0.3971792,0.0.731861,1.882038763,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1717451462.845311071
0.0.4927077,0.0.731861,4.124309546,SUCCESS,0.0.3948521,0.0.4138717@1717451462.904110815
0.0.5340961,0.0.731861,0.222298033,SUCCESS,0.0.3948521&0.0.3951117,0.0.4138717@1717451465.055212599
0.0.5738143,0.0.731861,1516.384498,SUCCESS,0.0.3948521&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964809&0.0.3964821,0.0.4138717@1717451466.654670620
0.0.6033605,0.0.731861,4.44E-10,SUCCESS,0.0.3948521,0.0.4138717@1717451465.542591000
0.0.1512214,0.0.731861,10.94061139,SUCCESS,0.0.3964782&0.0.3964795&0.0.3964800&0.0.3964834&0.0.3964837&0.0.3964809,0.0.4138717@1717451465.862802768
0.0.1483886,0.0.731861,20314.90658,SUCCESS,0.0.3964782,0.0.4138717@1717451467.134129158
0.0.1078514,0.0.731861,0.240182992,SUCCESS,0.0.3964782,0.0.4138717@1717451467.149622321
0.0.1088188,0.0.731861,724.6004531,SUCCESS,0.0.3964782&0.0.3964808&0.0.3964825,0.0.4138717@1717451467.858029038
0.0.1415474,0.0.731861,141.6682713,SUCCESS,0.0.3964782&0.0.3964785,0.0.4138717@1717451468.012138481
0.0.2152309,0.0.731861,1.20E-07,SUCCESS,0.0.3964782,0.0.4138717@1717451474.082630451
0.0.1416793,0.0.731861,0.503025802,SUCCESS,0.0.3964782&0.0.3964790,0.0.4138717@1717451474.872738505
0.0.4766646,0.0.731861,10.91104696,SUCCESS,0.0.3964785&0.0.3964804,0.0.4138717@1717451476.506828920
0.0.1429557,0.0.731861,31.35026206,SUCCESS,0.0.3964785&0.0.3964815,0.0.4138717@1717451476.231783801
0.0.3359892,0.0.731861,7799.451598,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1717451477.697067163
0.0.2185216,0.0.731861,3056.120555,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1717451478.499077520
0.0.1082789,0.0.731861,18201.82157,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964837&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964809,0.0.4138717@1717451476.371847611
0.0.732888,0.0.731861,83.00828896,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827,0.0.4138717@1717451476.165707778
0.0.1479798,0.0.731861,56.84803384,SUCCESS,0.0.3964790&0.0.3964837&0.0.3964860,0.0.4138717@1717451476.203806210
0.0.3965633,0.0.731861,0.053743564,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1717451481.030868999
0.0.731977,0.0.731861,0.736931386,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1717451481.102298980
0.0.835827,0.0.731861,6.703662087,SUCCESS,0.0.3964790,0.0.4138717@1717451484.193608729
0.0.1263649,0.0.731861,1.195511185,SUCCESS,0.0.3964790,0.0.4138717@1717451484.677276590
0.0.1130645,0.0.731861,45.62908537,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1717451482.909013953
0.0.1051402,0.0.731861,53.9187057,SUCCESS,0.0.3964790&0.0.3964800&0.0.3964827&0.0.3964804&0.0.3964860,0.0.4138717@1717451485.546447167
0.0.1085174,0.0.731861,564.0085727,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1717451482.487360041
0.0.1033493,0.0.731861,1.198853142,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964827&0.0.3964837,0.0.4138717@1717451482.029810835
0.0.481717,0.0.731861,0.267365997,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804,0.0.4138717@1717451486.418535339
0.0.822962,0.0.731861,1.823175995,SUCCESS,0.0.3964790,0.0.4138717@1717451484.217938257
0.0.886182,0.0.731861,61.80782386,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1717451487.553791111
0.0.1528,0.0.731861,0.169053025,SUCCESS,0.0.3964790&0.0.3964855,0.0.4138717@1717451486.847407040
0.0.1078483,0.0.731861,265.5071211,SUCCESS,0.0.3964790,0.0.4138717@1717451486.425794844
0.0.817883,0.0.731861,2.81732E-05,SUCCESS,0.0.3964790,0.0.4138717@1717451485.910596389
0.0.1054756,0.0.731861,20.9749068,SUCCESS,0.0.3964790&0.0.3964855,0.0.4138717@1717451487.838743840
0.0.3845966,0.0.731861,0.16327964,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827&0.0.3964804,0.0.4138717@1717451485.317661586
0.0.1075172,0.0.731861,0.01568641,SUCCESS,0.0.3964790,0.0.4138717@1717451488.840596751
0.0.1093567,0.0.731861,1.03234941,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964804,0.0.4138717@1717451488.051338306
0.0.1088394,0.0.731861,654.9904864,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804&0.0.3964860,0.0.4138717@1717451492.480559138
0.0.1724832,0.0.731861,0.007407845,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804,0.0.4138717@1717451493.245177691
