account,token address,amount,state,pool address,tx id
0.0.3958740,0.0.731861,3.69442E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1723491761.868478558
0.0.1265153,0.0.731861,0.041139175,SUCCESS,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964840&0.0.3964815,0.0.4138717@1723491764.365651648
0.0.165981,0.0.731861,3.13167E-05,SUCCESS,0.0.3948521,0.0.4138717@1723491762.308493713
0.0.7951,0.0.731861,17663.00804,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964804&0.0.3964808,0.0.4138717@1723491765.012757926
0.0.1325925,0.0.731861,2291.679094,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1723491765.513221820
0.0.1008009,0.0.731861,0.327341864,SUCCESS,0.0.3948521&0.0.3964855,0.0.4138717@1723491765.667670418
0.0.665927,0.0.731861,35.3858733,SUCCESS,0.0.3948521,0.0.4138717@1723491764.266414481
0.0.692862,0.0.731861,53.78249865,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1723491763.933614348
0.0.1140907,0.0.731861,35.94276102,SUCCESS,0.0.3948521,0.0.4138717@1723491763.285243717
0.0.53416,0.0.731861,21.05531529,SUCCESS,0.0.3948521,0.0.4138717@1723491763.552259801
0.0.1152713,0.0.731861,21593.36428,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1723491768.562344520
0.0.1070346,0.0.731861,3949.938079,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964840,0.0.4138717@1723491769.673886647
0.0.919082,0.0.731861,17.59293504,SUCCESS,0.0.3948521,0.0.4138717@1723491769.878127151
0.0.1427613,0.0.731861,0.184183253,SUCCESS,0.0.3948521,0.0.4138717@1723491768.727896547
0.0.1465114,0.0.731861,1080.424572,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1723491767.040355419
0.0.2960520,0.0.731861,0.126319399,SUCCESS,0.0.3948521,0.0.4138717@1723491767.194821153
0.0.858338,0.0.731861,5.59E-07,SUCCESS,0.0.3948521,0.0.4138717@1723491767.362609597
0.0.2005033,0.0.731861,1.835667205,SUCCESS,0.0.3948521,0.0.4138717@1723491769.488174797
