account,token address,amount,state,pool address,tx id,,,,
0.0.3958740,0.00008185683624539790,SUCCESS,0.0.731861,0.0.3948521&0.0.3961531,0.0.4138717@1727118819.285455529,,,,
0.0.1265153,0.0794228091978119,SUCCESS,0.0.731861,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964837&0.0.3964840&0.0.3964815,0.0.4138717@1727118820.847822162,,,,
0.0.165981,0.00004301946557822810,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1727118823.527249681,,,,
0.0.7951,9044.87802331577,SUCCESS,0.0.731861,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964804,0.0.4138717@1727118821.660440140,,,,
0.0.1325925,626.1734909027910,SUCCESS,0.0.731861,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1727118820.027574796,,,,
0.0.665927,38.49196461563620,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1727118824.296039526,,,,
0.0.1106819,6339.978627069270,SUCCESS,0.0.731861,0.0.3948521&0.0.3964821,0.0.4138717@1727118823.780171173,,,,
0.0.1140907,48.81036177449240,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1727118824.042005141,,,,
0.0.1152713,22249.02697843200,SUCCESS,0.0.731861,0.0.3948521&0.0.3961531,0.0.4138717@1727118822.822626791,,,,
0.0.1427613,0.254635401129668,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1727118820.219444149,,,,
0.0.1421971,386.3854449897630,SUCCESS,0.0.731861,0.0.3948521&0.0.3964815&0.0.3964821,0.0.4138717@1727118824.548766454,,,,
0.0.2960520,511.0321474659300,SUCCESS,0.0.731861,0.0.3948521&0.0.3964790,0.0.4138717@1727118828.712742098,,,,
0.0.834868,132.8434233820120,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1727118826.983402230,,,,
0.0.1456638,1.745462926888150,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1727118828.539937731,,,,
0.0.2005033,2.309804924826910,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1727118824.892116394,,,,
0.0.1097257,2.908286059848580,SUCCESS,0.0.731861,0.0.3948521&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964837&0.0.3964840&0.0.3964804&0.0.3964808&0.0.3964821&0.0.3964860,0.0.4138717@1727118827.671438331,,,,
0.0.896352,49.51070281186610,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1727118829.514840435,,,,
0.0.3313554,31.14910546792520,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1727118826.113716927,,,,
0.0.1338331,5.304713911769020,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1727118827.093994136,,,,
0.0.1133493,2696.908040038300,SUCCESS,0.0.731861,0.0.3948521&0.0.3964800&0.0.3964834&0.0.3964840&0.0.3964821&0.0.3964825&0.0.6071074,0.0.4138717@1727118826.447918976,,,,
0.0.4544530,574.5631555738650,SUCCESS,0.0.731861,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1727118828.666191308,,,,
0.0.6034631,37.56337814804190,NOT_ASSOCIATED,0.0.731861,0.0.3948521&0.0.3964804,,,,,
0.0.6099825,29.17764978987170,NOT_ASSOCIATED,0.0.731861,0.0.3948521&0.0.3964804,,,,,
0.0.5118079,5.980830626021090,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1727118831.714640394,,,,
0.0.5118232,0.592789842072368,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1727118830.509268942,,,,
0.0.5129249,11.64858418325410,SUCCESS,0.0.731861,0.0.3948521&0.0.3964790&0.0.3964804,0.0.4138717@1727118831.650168360,,,,
0.0.5119346,11.95351939022630,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1727118831.692407642,,,,
