account,amount,state,token address,pool address,tx id
0.0.1485682,0.0008223845222823591,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197565.020983519
0.0.7950871,262.3336250993509,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.3964804&0.0.3964827&0.0.6071074&0.0.6071119,0.0.4138717@1762197569.276363977
0.0.720300,0.8206127320916565,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197565.743154903
0.0.2923216,3.414176981177965,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197569.487864709
0.0.845031,0.00002955647495510845,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197565.023558595
0.0.7965399,0.00002544292187361734,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197565.676910677
0.0.4594562,13.83859984693476,SUCCESS,hbar,0.0.3948521&0.0.3964782,0.0.4138717@1762197569.405094902
0.0.4340290,6.027961299119094,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197565.854741123
0.0.1353334,0.1135176667062608,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1762197564.877617503
0.0.7965397,0.00005464610090204931,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197568.050372784
0.0.3971792,0.05850477365650299,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197569.265345549
0.0.1152713,6433.248677458621,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964790,0.0.4138717@1762197570.301100769
0.0.1085174,151.4620878457303,SUCCESS,hbar,0.0.3948521&0.0.3964790,0.0.4138717@1762197569.253079968
0.0.1325925,274.3747262085554,SUCCESS,hbar,0.0.3948521&0.0.3964782,0.0.4138717@1762197571.695687663
0.0.7951,1674.024672745318,SUCCESS,hbar,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3964804&0.0.3964855&0.0.3964860&0.0.5328590,0.0.4138717@1762197571.034611512
0.0.165981,0.0001402787707208103,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197572.063592674
0.0.3961176,0.002221647448706693,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197571.571199350
0.0.732798,0.1304012460453037,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964804&0.0.4129330,0.0.4138717@1762197571.313158004
0.0.1265153,0.007228982934783432,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964795&0.0.3964827&0.0.3964840,0.0.4138717@1762197571.931545870
0.0.3958740,0.0000838434318310382,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197570.838564113
0.0.1105470,0.03755146332122508,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197573.935169346
0.0.4313767,0.03820338552631448,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197575.617711474
0.0.4865794,21.55404452459723,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197573.945712731
0.0.4712184,0.007484468103355815,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964790&0.0.3964840,0.0.4138717@1762197575.672574163
0.0.6033605,0.0007295724734595743,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197574.518502719
0.0.7730513,0.000218730191963869,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197576.261804118
0.0.7789171,9.655017856196961e-12,FAIL,hbar,0.0.3948521,
0.0.862835,5.408218395375415,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964827&0.0.6071911&0.0.7474726,0.0.4138717@1762197578.603134491
0.0.2964523,194.1658029045145,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964808,0.0.4138717@1762197579.252404373
0.0.428115,0.00001925118853803374,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197576.803237397
0.0.3870061,9.034849879665554,SUCCESS,hbar,0.0.3948521&0.0.3964808&0.0.3964821&0.0.4601632&0.0.6071041,0.0.4138717@1762197581.779144245
0.0.8684349,361.9936782374065,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964800&0.0.3964837&0.0.3964860,0.0.4138717@1762197578.232370860
0.0.3210690,0.05584337655282466,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197578.467772127
0.0.9435754,42.09905236601915,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197581.739066769
0.0.10031120,0.0004405834643056514,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197579.982450188
0.0.10031122,0.0004554974690432164,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197581.026259137
0.0.859565,7.377252366642771,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964860&0.0.5328590,0.0.4138717@1762197580.222268230
0.0.5118232,0.4562394241949693,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1762197581.792393153
0.0.5119346,5.144904197535537,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1762197585.115273047
0.0.5182107,0.4294875578878459,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1762197583.286986616
0.0.5310061,1.035264338191342,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1762197582.830966803
0.0.4744252,0.01289600919540788,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197585.873370704
0.0.5687394,0.3092763605205192,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197584.851300791
0.0.6440477,0.3629224144907087,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1762197583.954140590
0.0.3918882,0.03377807913109129,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197588.241658738
0.0.628683,0.5073898228848357,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197587.182830313
0.0.4777259,0.4386023433233294,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197586.459029950
0.0.4702708,29.40700122543596,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964827,0.0.4138717@1762197587.103896657
0.0.4363476,2.847491851654678,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197586.090419172
0.0.1930336,206.0306895952573,SUCCESS,hbar,0.0.3948521&0.0.3964782,0.0.4138717@1762197588.651229104
0.0.8271908,93.63901079633436,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197590.907719279
0.0.1070346,60.76091496178388,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964840,0.0.4138717@1762197588.134869863
0.0.1427613,0.8250236991517754,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197589.265781114
0.0.2960520,0.180677956348238,SUCCESS,hbar,0.0.3948521,0.0.4138717@1762197589.620305593
0.0.1096529,4.743707844839026,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964804&0.0.3964860,0.0.4138717@1762197589.850236625
0.0.4544530,180.3715109310001,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964821&0.0.3964825&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964860&0.0.3964840&0.0.4129330&0.0.4601632&0.0.5328590&0.0.6071041&0.0.6078459&0.0.6078473&0.0.7302964,0.0.4138717@1762197592.135498668
0.0.1181772,0.1673563386697039,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.6126395,0.0.4138717@1762197593.412919737
0.0.1882571,40.55890635141603,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964860,0.0.4138717@1762197593.726779257
0.0.5118079,2.958569328579696,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1762197590.114812316
0.0.860058,1449.466554245403,SUCCESS,hbar,0.0.3948521&0.0.3964800,0.0.4138717@1762197596.291813353
0.0.4423729,0.7084092327366902,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1762197592.753460034
0.0.8013259,4205.786177888547,SUCCESS,hbar,0.0.3951117&0.0.6071119,0.0.4138717@1762197595.075423003
0.0.10047974,3.177909731394217,SUCCESS,hbar,0.0.3951117&0.0.5328590&0.0.7474726,0.0.4138717@1762197594.443283184
0.0.10021410,0.01685516402865014,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197596.312782946
0.0.10076247,0.03326567070765434,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197593.635320527
0.0.914261,25.11190052232925,SUCCESS,hbar,0.0.3951117&0.0.5328590,0.0.4138717@1762197596.393107089
0.0.731977,18.14100102408694,SUCCESS,hbar,0.0.3951117&0.0.4601632,0.0.4138717@1762197597.200839924
0.0.1745725,143.1635777862602,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197598.354222271
0.0.896788,1660.001022558356,SUCCESS,hbar,0.0.3951117&0.0.6071119,0.0.4138717@1762197596.591717539
0.0.9125858,11254.32474460132,SUCCESS,hbar,0.0.3951117&0.0.3961531&0.0.3964795&0.0.3964804&0.0.6071041&0.0.6071119&0.0.6126395&0.0.9774523&0.0.10018365,0.0.4138717@1762197597.158539192
0.0.7314072,1.559942124049152,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197597.778235056
0.0.1290358,89.33859678025418,SUCCESS,hbar,0.0.3951117&0.0.3964834,0.0.4138717@1762197598.713312955
0.0.1340164,2.640219744233693,SUCCESS,hbar,0.0.3951117&0.0.3964834,0.0.4138717@1762197600.916140702
0.0.7760014,2.933488088727706,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197599.292480877
0.0.7421912,174.2470797853782,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197599.837122363
0.0.836838,5.601011081636378,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197598.559084364
0.0.1157855,0.195236334677044,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197601.521031525
0.0.1412123,0.2631383057825575,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197603.115755729
0.0.5746207,28.98802302909117,SUCCESS,hbar,0.0.3951117&0.0.3961531,0.0.4138717@1762197602.544482564
0.0.4184733,80.25602678153778,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197604.852282428
0.0.4775299,0.7394434295930546,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197602.607097563
0.0.4758169,0.4404758977125398,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197605.700414101
0.0.3071320,6.964470985996337,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197601.801587971
0.0.4330219,0.1493360087479068,SUCCESS,hbar,0.0.3951117&0.0.3964790,0.0.4138717@1762197603.048370251
0.0.2968839,5.640681485945128,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.4601632,0.0.4138717@1762197605.828072598
0.0.4923080,0.1172416679883909,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197603.303831172
0.0.3242760,16.91744114227181,SUCCESS,hbar,0.0.3951117&0.0.3961531&0.0.3964804,0.0.4138717@1762197603.620310893
0.0.5797983,0.07486756738277596,SUCCESS,hbar,0.0.3951117&0.0.3961531&0.0.3964804,0.0.4138717@1762197607.342957859
0.0.850535,2901.283826454246,SUCCESS,hbar,0.0.3951117&0.0.3964834&0.0.3964837&0.0.3964840&0.0.4129330&0.0.4601632&0.0.5328590,0.0.4138717@1762197608.549629393
0.0.6244791,0.8861872649975534,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197609.061913325
0.0.6313910,86.37324017183747,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197605.423551217
0.0.6289117,6.026449770414293,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.4601632&0.0.6071041,0.0.4138717@1762197607.192697454
0.0.874760,122.9223263693469,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.6078459,0.0.4138717@1762197606.568018375
0.0.4345324,0.0916214344169857,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197608.458334426
0.0.2930231,0.2602304405407094,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197609.025139277
0.0.4709377,10.3048567706981,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197609.656743547
0.0.4695027,0.2925366178307593,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197609.179393773
0.0.4340758,0.4599069975984956,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197611.142438783
0.0.4817549,0.7627974109214798,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197611.234506548
0.0.4938729,1.21851392983781,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197610.395051666
0.0.3868695,88.23908134410436,SUCCESS,hbar,0.0.3951117&0.0.3964837&0.0.5328590&0.0.6071119,0.0.4138717@1762197612.562254074
0.0.4322002,0.3518813743325611,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197611.654450684
0.0.4797427,4.394862587834889,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197611.931632927
0.0.4968045,2.288627003060436,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197611.874116319
0.0.4432149,0.2511314282387613,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197615.575451792
0.0.4558891,3.232930506503594,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197615.445188705
0.0.5976303,0.3393013881115285,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1762197613.343980218
0.0.4318411,4.424508523208112,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197616.876436114
0.0.3681428,503.5493642004761,SUCCESS,hbar,0.0.3951117&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964834&0.0.3964837&0.0.3964840,0.0.4138717@1762197614.822795867
0.0.4329852,31.64906216567273,SUCCESS,hbar,0.0.3951117&0.0.3964804&0.0.3964827&0.0.3964855&0.0.4601632&0.0.5328590&0.0.7474726,0.0.4138717@1762197616.532369203
0.0.6043615,1.631494550981594,SUCCESS,hbar,0.0.3951117&0.0.3964790&0.0.3964804&0.0.3964827&0.0.3964855&0.0.3964840&0.0.5328590&0.0.6071041,0.0.4138717@1762197619.097738572
0.0.5975196,0.1794778622132153,SUCCESS,hbar,0.0.3951117&0.0.4601632,0.0.4138717@1762197618.593122665
0.0.3969243,0.03363624275443822,SUCCESS,hbar,0.0.3951117&0.0.4129330,0.0.4138717@1762197618.832319479
0.0.4732964,0.1001073210399887,SUCCESS,hbar,0.0.3951117,0.0.4138717@1762197618.664286327
0.0.2125030,776.9076791245037,SUCCESS,hbar,0.0.3951117&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964834&0.0.3964837&0.0.3964840,0.0.4138717@1762197620.217607814
