account,amount,state,token address,pool address,tx id
0.0.859023,891.8976425660534,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964837,0.0.4138717@1739224308.373182632
0.0.8257948,0.06442629174443175,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1739224308.242725970
0.0.8068996,0.2179361553946412,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964790&0.0.3964804,0.0.4138717@1739224308.846009253
0.0.6435343,0.0001457688076765318,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224307.330301692
0.0.839921,0.7529135307940252,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1739224305.508054501
0.0.4093788,7.411780080476113,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1739224307.116455562
0.0.4360413,240.1545413903233,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964808&0.0.3964860,0.0.4138717@1739224309.982726215
0.0.6154587,5.647254523512379,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1739224306.886994111
0.0.3828375,36.31930784043757,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964804,0.0.4138717@1739224306.805535743
0.0.3870061,12.3082452997457,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.4601632,0.0.4138717@1739224308.076892327
0.0.4345595,1.978593935585551,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224314.314703439
0.0.778405,10.23831892267912,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.5328590,0.0.4138717@1739224311.535747180
0.0.1096207,380.2830121412623,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224312.645212707
0.0.1703452,410.3567712561664,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964837,0.0.4138717@1739224313.878043134
0.0.4363476,0.1593470544104643,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224311.174200340
0.0.2923216,7.903162188245156,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224313.915581082
0.0.699384,0.00593456127823507,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224312.404547568
0.0.5790431,2440.525538409484,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224313.202442299
0.0.1317940,24.41345436129032,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224313.842301702
0.0.1404780,13.19459014314176,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224315.869629835
0.0.4544530,283.6343502146715,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964860&0.0.3964840&0.0.4129330&0.0.4601632&0.0.6071041&0.0.6078459&0.0.6078473,0.0.4138717@1739224317.467130971
0.0.1377041,7.507237700333913,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224315.499813408
0.0.7949179,3.688767636691122,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964808,0.0.4138717@1739224320.047660358
0.0.428115,0.00003707622854448949,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224318.974920749
0.0.8045621,1.806127599103861,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224318.927190345
0.0.7965399,0.00004204592440209173,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224319.689539657
0.0.6096464,3.855222793869868,SUCCESS,hbar,0.0.3948521&0.0.3964808,0.0.4138717@1739224319.200021873
0.0.7965397,0.0001103170710894937,SUCCESS,hbar,0.0.3948521,0.0.4138717@1739224319.338586502
