account,token address,amount,state,pool address,tx id
0.0.3958740,0.0.731861,4.57343E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1724701181.348002434
0.0.1265153,0.0.731861,0.034185281,SUCCESS,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964840&0.0.3964815,0.0.4138717@1724701183.521225577
0.0.165981,0.0.731861,3.36436E-05,SUCCESS,0.0.3948521,0.0.4138717@1724701181.185241609
0.0.7951,0.0.731861,16779.83735,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964804,0.0.4138717@1724701185.206067707
0.0.1325925,0.0.731861,1753.865221,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1724701184.533320366
0.0.1008009,0.0.731861,0.357501035,SUCCESS,0.0.3948521&0.0.3964855,0.0.4138717@1724701184.889585915
0.0.665927,0.0.731861,35.258335,SUCCESS,0.0.3948521,0.0.4138717@1724701181.166550797
0.0.692862,0.0.731861,53.58650648,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1724701184.465130079
0.0.1085174,0.0.731861,381.9097177,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1724701181.111486013
0.0.1140907,0.0.731861,37.50438828,SUCCESS,0.0.3948521,0.0.4138717@1724701182.822100959
0.0.1152713,0.0.731861,21478.24119,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1724701188.656611606
0.0.1070346,0.0.731861,3867.603514,SUCCESS,0.0.3948521&0.0.3964840,0.0.4138717@1724701189.243597902
0.0.919082,0.0.731861,531.2836856,SUCCESS,0.0.3948521,0.0.4138717@1724701191.236716271
0.0.1427613,0.0.731861,0.201291399,SUCCESS,0.0.3948521,0.0.4138717@1724701187.225744426
0.0.1465114,0.0.731861,1063.598936,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790,0.0.4138717@1724701188.749394534
0.0.2960520,0.0.731861,0.125864117,SUCCESS,0.0.3948521,0.0.4138717@1724701187.977129020
