Account ID,SAUCE Amount,Airdrop Status,Airdrop TX ID
0.0.3948479,2.700480396,NOT_ASSOCIATED,
0.0.3961176,1.456287087,NOT_ASSOCIATED,
0.0.2964532,2.457571734,NOT_ASSOCIATED,
0.0.3959238,315.2829873,NOT_ASSOCIATED,
0.0.1923201,0.047851998,NOT_ASSOCIATED,
0.0.846959,0.014546284,NOT_ASSOCIATED,
0.0.3967616,12.413845,NOT_ASSOCIATED,
0.0.1233716,57.94349561,SUCCESS,0.0.4138717@1702926964.243483089
0.0.3974726,13.24899801,SUCCESS,0.0.4138717@1702926972.667215954
0.0.3966137,99.98942862,NOT_ASSOCIATED,
0.0.153921,277.383176,SUCCESS,0.0.4138717@1702926977.375955966
0.0.4044502,182.0274262,NOT_ASSOCIATED,
0.0.3959590,18.1507565,SUCCESS,0.0.4138717@1702926985.617547453
0.0.4105428,10.91460689,NOT_ASSOCIATED,
0.0.2879822,0.003006981,NOT_ASSOCIATED,
0.0.1989161,5538.08016,SUCCESS,0.0.4138717@1702926989.076222998
0.0.1517175,66.96274993,NOT_ASSOCIATED,
0.0.3958740,0.008697871,SUCCESS,0.0.4138717@1702926994.534797858
0.0.512388,389.7180364,SUCCESS,0.0.4138717@1702927002.190107383
0.0.1265153,0.248371101,SUCCESS,0.0.4138717@1702927009.315141254
0.0.732798,0.113724869,SUCCESS,0.0.4138717@1702927013.893044229
0.0.165981,66.54581498,SUCCESS,0.0.4138717@1702927017.090814771
0.0.1263006,0.008515238,SUCCESS,0.0.4138717@1702927023.230576717
0.0.7951,166041.5772,SUCCESS,0.0.4138717@1702927025.426970169
0.0.1109942,168.9727057,SUCCESS,0.0.4138717@1702927031.951003436
0.0.732888,761.8133485,SUCCESS,0.0.4138717@1702927036.317276263
0.0.1325925,27047.75949,SUCCESS,0.0.4138717@1702927050.133085866
0.0.1930477,37826.25096,SUCCESS,0.0.4138717@1702927055.731382883
0.0.1485035,11394.64464,SUCCESS,0.0.4138717@1702927063.585885189
0.0.458059,252.5776379,SUCCESS,0.0.4138717@1702927078.730694536
0.0.665927,2155.264526,SUCCESS,0.0.4138717@1702927084.782046889
0.0.692862,115.3838965,SUCCESS,0.0.4138717@1702927093.971843114
0.0.842247,113.1666483,SUCCESS,0.0.4138717@1702927097.316144632
0.0.1085174,1372.986893,SUCCESS,0.0.4138717@1702927102.484789581
0.0.1396279,1583.157658,SUCCESS,0.0.4138717@1702927109.994182295
0.0.1419835,713.0005476,SUCCESS,0.0.4138717@1702927116.691949779
0.0.795476,1426.877224,SUCCESS,0.0.4138717@1702927122.779528811
0.0.1378130,202.5236038,SUCCESS,0.0.4138717@1702927125.407664785
0.0.2595,2146.466515,SUCCESS,0.0.4138717@1702927137.815058852
0.0.1353438,473.5831019,SUCCESS,0.0.4138717@1702927142.898017944
0.0.3000334,6.211406587,SUCCESS,0.0.4138717@1702927145.086957623
0.0.910310,437.0697925,SUCCESS,0.0.4138717@1702927150.308004798
0.0.846835,510.0817655,SUCCESS,0.0.4138717@1702927169.542483816
0.0.1309628,1792.25884,SUCCESS,0.0.4138717@1702927173.348321896
0.0.1152713,27723.82807,SUCCESS,0.0.4138717@1702927184.550160015
0.0.845642,12.27731488,SUCCESS,0.0.4138717@1702927191.668899707
0.0.860058,6888.911575,SUCCESS,0.0.4138717@1702927197.011922129
0.0.660703,1489.758077,SUCCESS,0.0.4138717@1702927202.232396238
0.0.3954776,842.0345014,SUCCESS,0.0.4138717@1702927206.215090157
0.0.525256,1122.807022,SUCCESS,0.0.4138717@1702927212.337303620
0.0.1120955,66.58689828,SUCCESS,0.0.4138717@1702927217.462674207
0.0.825160,456.1891693,SUCCESS,0.0.4138717@1702927223.408666902
0.0.3854398,20.26609735,SUCCESS,0.0.4138717@1702927229.289449967
0.0.3854404,40.83625825,SUCCESS,0.0.4138717@1702927229.931768775
0.0.2960520,493.2977276,SUCCESS,0.0.4138717@1702927237.554711169
0.0.858338,2.19945E-05,SUCCESS,0.0.4138717@1702927244.341266686
0.0.2082077,11.00468197,SUCCESS,0.0.4138717@1702927247.122889898
0.0.1916703,765.0098307,SUCCESS,0.0.4138717@1702927254.418851416
0.0.1485845,0.584971495,NOT_ASSOCIATED,
0.0.838062,361.594251,SUCCESS,0.0.4138717@1702927260.384597282
0.0.866891,7.785960058,SUCCESS,0.0.4138717@1702927268.111717963
0.0.1324436,1.712799814,NOT_ASSOCIATED,
0.0.4174858,10.81466842,NOT_ASSOCIATED,
0.0.3359892,55293.65717,SUCCESS,0.0.4138717@1702927275.185344218
0.0.1483886,606.5570041,SUCCESS,0.0.4138717@1702927277.665199095
0.0.53416,4145.383694,SUCCESS,0.0.4138717@1702927282.788995301
0.0.1427613,67.86456948,SUCCESS,0.0.4138717@1702927288.098304684
0.0.1088188,30800.06674,SUCCESS,0.0.4138717@1702927293.410303934
0.0.965222,1571.230419,SUCCESS,0.0.4138717@1702927300.831929401
0.0.1453734,879.2019027,SUCCESS,0.0.4138717@1702927306.484156709
0.0.732317,4835.331388,SUCCESS,0.0.4138717@1702927307.155164874
0.0.1082789,9354.49362,SUCCESS,0.0.4138717@1702927315.365083145
0.0.1067361,3317.981507,SUCCESS,0.0.4138717@1702927319.731510289
0.0.731707,2597.617308,SUCCESS,0.0.4138717@1702927323.631432147
0.0.3441589,9.33366E-06,SUCCESS,0.0.4138717@1702927328.918615586
0.0.833306,1125.060759,SUCCESS,0.0.4138717@1702927337.193664393
0.0.499534,4188.132532,SUCCESS,0.0.4138717@1702927341.565861598
0.0.2141800,0.284793578,SUCCESS,0.0.4138717@1702927351.081097655
0.0.338877,81.72058694,SUCCESS,0.0.4138717@1702927355.257483134
0.0.882389,16523.85782,SUCCESS,0.0.4138717@1702927360.009094830
0.0.512336,0.032642338,SUCCESS,0.0.4138717@1702927366.934001348
0.0.3965633,0.144052702,SUCCESS,0.0.4138717@1702927374.006160766
0.0.982545,16.59474792,SUCCESS,0.0.4138717@1702927378.620621299
0.0.1061257,1.50396534,SUCCESS,0.0.4138717@1702927385.945056605
0.0.643109,4.649711307,SUCCESS,0.0.4138717@1702927390.050053922
0.0.585529,0.514273836,SUCCESS,0.0.4138717@1702927391.755408059
0.0.853175,126.8888067,SUCCESS,0.0.4138717@1702927398.365461784
0.0.731977,5.931997708,SUCCESS,0.0.4138717@1702927402.378190044
0.0.835827,86.12985791,SUCCESS,0.0.4138717@1702927406.575970648
0.0.690873,1.481315166,SUCCESS,0.0.4138717@1702927425.949940204
0.0.1487109,66.39742596,SUCCESS,0.0.4138717@1702927429.357780443
