Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.3958740,0.0.731861,2.27491E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1719875264.041106895
0.0.1265153,0.0.731861,0.0170236,SUCCESS,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964840&0.0.3964815,0.0.4138717@1719875262.862514129
0.0.165981,0.0.731861,2.69978E-05,SUCCESS,0.0.3948521,0.0.4138717@1719875265.937451426
0.0.1274087,0.0.731861,19.55063137,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1719875261.663560663
0.0.7951,0.0.731861,10270.43703,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964808&0.0.3964809&0.0.3964815,0.0.4138717@1719875263.858897723
0.0.683607,0.0.731861,4977.271813,SUCCESS,0.0.3948521&0.0.3964800&0.0.3964827&0.0.3964808&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1719875263.202337865
0.0.1325925,0.0.731861,1759.440238,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1719875261.713354508
0.0.1008009,0.0.731861,8.608328189,SUCCESS,0.0.3948521&0.0.3964790&0.0.3961531&0.0.3964855,0.0.4138717@1719875261.946352047
0.0.665927,0.0.731861,24.74354369,SUCCESS,0.0.3948521,0.0.4138717@1719875261.975503102
0.0.692862,0.0.731861,103.8878596,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1719875265.868949396
0.0.965222,0.0.731861,45.3734259,SUCCESS,0.0.3948521&0.0.3964834&0.0.3964840&0.0.3964808&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1719875269.320900452
0.0.1396279,0.0.731861,52.40049015,SUCCESS,0.0.3948521,0.0.4138717@1719875267.337694199
0.0.1140907,0.0.731861,390.4290274,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1719875269.767578803
