account,amount,state,token address,pool address,tx id
0.0.2960520,69.1573636475734,SUCCESS,hbar,0.0.3948521&0.0.3964790,0.0.4138717@1734381800.711045837
0.0.4362975,0.000001118496982062722,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381802.420829600
0.0.227955,0.00001725011726601766,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381801.458682697
0.0.4317961,0.4014043234062298,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381802.067810885
0.0.2081640,282.3010074623289,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1734381801.425469114
0.0.6364204,1.142552350426188,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1734381798.295360692
0.0.2005033,0.0058399226468959,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381802.876195780
0.0.836080,0.08677013924064557,SUCCESS,hbar,0.0.3948521&0.0.3964837&0.0.3964855&0.0.4129330&0.0.5328590,0.0.4138717@1734381798.692989188
0.0.4639295,1.329100155914756e-8,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381803.085477601
0.0.53416,311.9525188589327,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1734381799.148625797
0.0.846865,9.60361068184382,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381807.091208871
0.0.4358361,1.882763514191554,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381807.005593384
0.0.5119059,8.303029645015533,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1734381804.218012613
0.0.7696338,0.05132726677573913,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381806.709544632
0.0.1117641,63.80842556743679,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381805.591211646
0.0.5612523,0.1490490776222194,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381805.071387912
0.0.1404780,6.995212029820441,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381806.708431197
0.0.7639907,0.06196953826258154,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381807.901158718
0.0.1339713,20.71484592735885,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1734381806.410819169
0.0.4744252,0.003489959008171468,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381809.791594929
0.0.4880246,29.0506531820458,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964809,0.0.4138717@1734381811.662315835
0.0.5118232,1.402373748148404,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1734381811.901573639
0.0.8316,0.2563306801545127,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381809.247884987
0.0.4712184,0.1459380047072502,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964790&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964840,0.0.4138717@1734381809.815195913
0.0.5273155,0.7647034624264841,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1734381811.625964686
0.0.3948452,56.84608601719187,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381811.844425331
0.0.5119346,19.77460062084176,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1734381812.210807467
0.0.4544530,538.7156233621156,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964860&0.0.3964840&0.0.4129330&0.0.4601632&0.0.6071041&0.0.6078459&0.0.6078473,0.0.4138717@1734381813.644974321
0.0.1049025,0.003477590008896316,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381812.649011756
0.0.2595,20.86385950048253,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964808,0.0.4138717@1734381813.651827944
0.0.6033605,0.002105650763468952,SUCCESS,hbar,0.0.3948521,0.0.4138717@1734381816.596198949
