Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.3948479,0.0.731861,0.000190606,NOT_ASSOCIATED,0.0.3948521,
0.0.3958740,0.0.731861,4.58249E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1716235700.656028427
0.0.1265153,0.0.731861,0.234111179,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964815,0.0.4138717@1716235698.362777688
0.0.732798,0.0.731861,0.166464749,SUCCESS,0.0.3948521&0.0.3964790&0.0.3964804,0.0.4138717@1716235699.740773028
0.0.3961176,0.0.731861,5.35037E-06,NOT_ASSOCIATED,0.0.3948521,
0.0.165981,0.0.731861,4.82044E-05,SUCCESS,0.0.3948521,0.0.4138717@1716235698.336507545
0.0.7951,0.0.731861,23543.04889,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964808&0.0.3964809&0.0.3964815,0.0.4138717@1716235697.482469766
0.0.1325925,0.0.731861,2139.658174,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1716235699.617785289
0.0.1930477,0.0.731861,1742.564474,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785,0.0.4138717@1716235700.013760259
0.0.1930663,0.0.731861,48.28209749,SUCCESS,0.0.3948521,0.0.4138717@1716235700.626520077
0.0.1008009,0.0.731861,219.6399561,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964827&0.0.3964855&0.0.3964804&0.0.3964860,0.0.4138717@1716235697.544636144
0.0.665927,0.0.731861,127.9178977,SUCCESS,0.0.3948521&0.0.3964785,0.0.4138717@1716235699.849916162
0.0.692862,0.0.731861,82.70009454,SUCCESS,0.0.3948521&0.0.3964782,0.0.4138717@1716235706.100099727
0.0.965222,0.0.731861,501.842494,SUCCESS,0.0.3948521&0.0.3964834&0.0.3964840&0.0.3964808&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1716235704.184100638
