account,amount,state,token address,pool address,tx id
0.0.1353334,18.24379134937166,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1779132722.149675284
0.0.7965397,0.003175473692818713,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132722.709291909
0.0.859023,0.02112875145087107,SUCCESS,0.0.731861,0.0.3948521&0.0.3964837,0.0.4138717@1779132725.695943716
0.0.7730513,0.01563740561955337,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132722.442977165
0.0.1930336,7805.075807174949,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132725.416837091
0.0.7550890,4.590519554932193,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1779132722.166294249
0.0.4093788,24.00237837724736,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1779132725.670639054
0.0.4712184,0.1120451924357316,SUCCESS,0.0.731861,0.0.3948521&0.0.3961531&0.0.3964790&0.0.3964837&0.0.3964840,0.0.4138717@1779132725.802172152
0.0.1105470,6.234153150291274,SUCCESS,0.0.731861,0.0.3948521&0.0.3964837,0.0.4138717@1779132723.350120655
0.0.4313767,2.731227134906786,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132721.733019092
0.0.3971792,4.182609031394811,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132726.243560673
0.0.6033605,0.05215841760990988,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132726.228839188
0.0.720300,28.54194007351897,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132726.255477839
0.0.845031,0.002216744548298893,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132726.606997771
0.0.5182107,13.84208799556366,NOT_ASSOCIATED,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804,
0.0.7789171,4.614705411009306,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804,0.0.4138717@1779132726.975096018
0.0.862835,177.0644175675849,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804&0.0.3964827&0.0.6071911,0.0.4138717@1779132730.710246998
0.0.7950871,0.009043682155152725,SUCCESS,0.0.731861,0.0.3948521&0.0.3964827,0.0.4138717@1779132729.819494315
0.0.7965399,0.003873074688312496,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132729.723330224
0.0.428115,0.001376301282988008,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132729.755781107
0.0.2923216,335.8436844101122,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132731.521124026
0.0.3210690,1.712058799232988,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132732.779355249
0.0.10031120,0.03423680562954554,NOT_ASSOCIATED,0.0.731861,0.0.3948521,
0.0.10031122,0.03455464572911179,NOT_ASSOCIATED,0.0.731861,0.0.3948521,
0.0.4702708,1194.81053135584,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964827,0.0.4138717@1779132731.995642182
0.0.4363476,263.1527953072969,SUCCESS,0.0.731861,0.0.3948521&0.0.3961531,0.0.4138717@1779132732.229928914
0.0.5119346,204.0903031172902,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1779132731.576616207
0.0.5118232,16.39177706856151,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1779132731.486703577
0.0.5118079,41.464244120158,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1779132731.785923818
0.0.1181772,12.57309765677035,SUCCESS,0.0.731861,0.0.3948521&0.0.3964804&0.0.6126395,0.0.4138717@1779132733.936042080
0.0.4544530,909.7784345143746,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964821&0.0.3964825&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964860&0.0.3964840&0.0.4129330&0.0.4601632&0.0.5328590&0.0.6071041&0.0.6078459&0.0.6078473,0.0.4138717@1779132732.019363553
0.0.2960520,1.210960421139656,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132734.580553802
0.0.1427613,58.98239339318268,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132738.634116354
0.0.7951,14687.58879577959,SUCCESS,0.0.731861,0.0.3948521&0.0.3964790&0.0.3964855&0.0.5328590,0.0.4138717@1779132735.854666290
0.0.165981,0.01002877571622907,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132736.297307953
0.0.3958740,0.0001479833733851603,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132739.522204377
0.0.1265153,0.1720378910980376,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964795&0.0.3964825&0.0.3964827&0.0.3964840,0.0.4138717@1779132737.518151911
0.0.4777259,34.03657730243378,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132739.445953363
0.0.628683,39.37464811116368,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132739.750493998
0.0.3918882,2.621258684488112,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132739.138237544
0.0.6440477,6.905837826742223,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1779132738.726208810
0.0.5687394,24.00057572175792,NOT_ASSOCIATED,0.0.731861,0.0.3948521,
0.0.4744252,1.000760758701241,SUCCESS,0.0.731861,0.0.3948521,0.0.4138717@1779132741.482364283
0.0.5310061,46.09548505361889,SUCCESS,0.0.731861,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1779132741.863844967
0.0.7786995,84.95050681843168,SUCCESS,0.0.731861,0.0.3951117,0.0.4138717@1779132741.027896506
0.0.4713153,10.92857483971927,SUCCESS,0.0.731861,0.0.3951117,0.0.4138717@1779132740.707310900
0.0.9774619,50.95311044728248,SUCCESS,0.0.731861,0.0.3951117&0.0.3964804&0.0.3964827&0.0.3964860,0.0.4138717@1779132743.716087933
0.0.1104990,1.399189294556412,SUCCESS,0.0.731861,0.0.3951117,0.0.4138717@1779132743.735200061
0.0.10288826,4537.127042500071,SUCCESS,0.0.731861,0.0.3951117&0.0.3964804,0.0.4138717@1779132745.768970343
