account,amount,state,token address,pool address,tx id
0.0.850481,9.270088175932358,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876985.871904852
0.0.9112426,0.06492695108967544,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788876984.136820879
0.0.8419510,0.03548333812490732,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876984.105499270
0.0.1707146,0.1234987433320766,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876983.482066546
0.0.9125858,1866.066831764545,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876985.618807318
0.0.1368197,0.2839886601824439,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788876987.330152480
0.0.7810768,0.0371436865215713,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876985.911980511
0.0.1120575,17.79322692013338,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788876987.668109444
0.0.9273872,0.001587265394699635,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876984.087929287
0.0.1515633,0.3680195856973774,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876983.609760520
0.0.8684349,52.75895605697092,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876992.338707960
0.0.1758196,0.08400013861309315,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876992.241710352
0.0.4555391,0.1845383396350686,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876991.750479397
0.0.9359586,0.005390879539851792,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876991.292550734
0.0.832852,3.991157617154632,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876989.786612559
0.0.2174015,0.00204313442987471,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876994.075961943
0.0.1110198,1.538358580611534,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876995.176272375
0.0.650437,0.05918211572268102,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876998.187195251
0.0.8585089,10.83371019378451,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876997.245319860
0.0.1115297,0.1046712959712043,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788876999.330027404
0.0.5688804,0.1989445320030741,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877000.301301362
0.0.7287636,1.278811018236901,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877001.328194768
0.0.5126364,1.955092525089265,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877012.549655723
0.0.6270084,59.12691990100463,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877009.734312652
0.0.7490874,0.0874034636284643,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877015.444907953
0.0.5060163,0.04227737007098347,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877013.422313353
0.0.1123889,0.2332189306670799,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877012.222334803
0.0.834595,0.2856141147203343,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877024.417878742
0.0.7989790,0.003866066633885587,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877025.499439480
0.0.3706536,0.001070670459608179,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877026.487084163
0.0.7542917,0.01969354836609215,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877026.742508011
0.0.8068996,0.03125682059834679,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877030.198585115
0.0.8071373,0.1412898121759998,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877029.772582128
0.0.819005,0.9761565949820569,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877031.364386192
0.0.8212757,0.2327551670429897,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877030.726406531
0.0.8260017,0.01142411169544428,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877033.652508140
0.0.2137668,3.813576933950344,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877037.851963816
0.0.8382774,0.04988803308700836,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877038.724019840
0.0.5352069,0.06030774885841859,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877039.215566362
0.0.8490555,0.1963069661584377,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877039.009546120
0.0.1104990,26.54043805716917,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877041.456409315
0.0.4343858,0.7728265952188249,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877043.083362177
0.0.10230141,1.151415632662836,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877045.227846828
0.0.8373509,2.707442938020476,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877044.976836197
0.0.9299646,0.4827976553974658,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877044.262378019
0.0.4432398,0.04519857913555988,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877047.358822091
0.0.10352676,0.1052031163447758,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877048.462858281
0.0.1408633,0.003905047501715837,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877044.203104414
0.0.1988559,0.09327147905543558,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877044.559817083
0.0.2017173,4.561030148289163,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877051.381075747
0.0.7786995,14.32292309600398,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877049.394110631
0.0.10483303,1691.779019554947,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877049.179474889
0.0.1734809,0.01722271362271473,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877048.520259662
0.0.10493411,0.849080855474648,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877053.765431569
0.0.912615,0.679401718681737,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877054.377470911
0.0.10504552,0.02013962123711134,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877053.542849654
0.0.4560992,0.4359308385272228,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877055.452333192
0.0.10296471,0.7999948916137064,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877053.341854923
0.0.10789847,0.69214785908562,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877055.804424370
0.0.10801079,0.000760554139324896,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877057.892730880
0.0.1157855,0.08385171656597969,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877054.856109092
0.0.9626972,0.05237337149505334,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877060.561631695
0.0.9344085,0.8065214902801078,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877060.939278313
0.0.9755401,0.001516207021294176,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877063.705228333
0.0.9761018,32.97130580611226,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877067.159954428
0.0.4570964,0.9855055303522925,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877071.943062181
0.0.9958383,0.006129501029203364,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877072.809691967
0.0.9723151,0.000405690713061264,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877072.463277992
0.0.10031117,0.1164560169222506,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877070.930101396
0.0.10031118,0.04882742851554996,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877073.755646049
0.0.813134,4.358677781294029,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877075.924190676
0.0.10021410,0.005326484800843814,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877073.053327412
0.0.10076247,0.09968630154222571,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877077.389461044
0.0.1340164,4.205885810879835,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877075.037762913
0.0.10076636,0.05170833151996593,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877076.948179912
0.0.735239,0.0000096269977663776,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877078.182330176
0.0.9302147,0.9347458708249073,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877080.507854794
0.0.10122546,0.006643467390742473,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877077.864023139
0.0.10169145,0.011394529664271,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877080.343864003
0.0.836838,3115.65152139933,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877081.560624355
0.0.4575306,0.0005169276487294848,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877084.141420749
0.0.1508462,3.939578646595814,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877082.767922886
0.0.3872466,0.01463208932593005,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877081.302757425
0.0.4591423,0.006262370073468749,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877085.179813790
0.0.3925109,0.0000053480639013408,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877082.572132561
0.0.4433722,0.008255551011226703,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877082.303691550
0.0.4361868,3.146302667870724,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877084.752269262
0.0.1265153,0.0008097367106968128,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877083.240936487
0.0.834820,4.52563014972989,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877088.457597177
0.0.516971,1.78422201792e-8,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877086.254237458
0.0.860438,0.2609104879704341,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877088.789462407
0.0.1290358,4.778232670986378,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877091.433134768
0.0.3241044,1.635097087344322,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877091.723337488
0.0.832415,24.59892857403134,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877093.489503133
0.0.3845966,0.2055886324338051,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877091.069681707
0.0.1724832,0.05128209146886477,SUCCESS,hbar,0.0.3951117,0.0.4138717@1788877095.485755825
0.0.1071830,3.807642736277712,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1788877094.376135606
