Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.5188747,0.0.731861,2.794867858,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1721149796.897545330
0.0.5182107,0.0.731861,0.110464529,NOT_ASSOCIATED,0.0.3948521&0.0.3951117&0.0.3964804,
0.0.1339713,0.0.731861,1.78E-15,SUCCESS,0.0.3948521,0.0.4138717@1721149792.394769902
0.0.5119059,0.0.731861,0.502097015,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1721149794.894648811
0.0.5273155,0.0.731861,7.487256501,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1721149793.285895335
0.0.5310061,0.0.731861,0.259323693,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1721149796.425654069
0.0.5117832,0.0.731861,4.07305783,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1721149796.369673470
0.0.4744252,0.0.731861,3.47E-15,SUCCESS,0.0.3948521,0.0.4138717@1721149799.643317679
0.0.5687394,0.0.731861,8.33E-16,NOT_ASSOCIATED,0.0.3948521,
0.0.5976303,0.0.731861,0.132988997,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1721149797.764388731
0.0.6079373,0.0.731861,2.41E-15,SUCCESS,0.0.3948521,0.0.4138717@1721149796.361989633
0.0.5181423,0.0.731861,7.113602967,NOT_ASSOCIATED,0.0.3948521&0.0.3961531&0.0.3951117&0.0.3964804,
0.0.6096464,0.0.731861,34.48161476,NOT_ASSOCIATED,0.0.3948521&0.0.3964808,
0.0.3368271,0.0.731861,4.43E-15,SUCCESS,0.0.3948521,0.0.4138717@1721149797.128628007
0.0.6266397,0.0.731861,3.42E-15,SUCCESS,0.0.3948521,0.0.4138717@1721149799.464617168
0.0.4712184,0.0.731861,0.974752275,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964825,0.0.4138717@1721149800.762402790
0.0.1353334,0.0.731861,0.391192797,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1721149801.526842350
0.0.838563,0.0.731861,2785.091549,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964834&0.0.3964808&0.0.3964809&0.0.3964821&0.0.3964825&0.0.3964860&0.0.6071074,0.0.4138717@1721149801.411628462
0.0.4313767,0.0.731861,0.01652622,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1721149799.710840219
0.0.1045561,0.0.731861,0.015795356,SUCCESS,0.0.3948521&0.0.3961531&0.0.3964800,0.0.4138717@1721149800.267503311
0.0.4865794,0.0.731861,353.9818135,SUCCESS,0.0.3948521,0.0.4138717@1721149804.811580126
0.0.4880246,0.0.731861,4.940518346,SUCCESS,0.0.3948521&0.0.3964790&0.0.3964804&0.0.3964809,0.0.4138717@1721149801.738122770
0.0.1282331,0.0.731861,7.533509992,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3964804,0.0.4138717@1721149802.041059126
0.0.3971792,0.0.731861,0.007849268,SUCCESS,0.0.3948521,0.0.4138717@1721149803.285980438
0.0.5340961,0.0.731861,0.140196541,SUCCESS,0.0.3948521,0.0.4138717@1721149801.931741418
0.0.6033605,0.0.731861,2.76E-08,SUCCESS,0.0.3948521,0.0.4138717@1721149806.208671969
0.0.4765629,0.0.731861,0.072959498,SUCCESS,0.0.3948521&0.0.3964827,0.0.4138717@1721149805.131976012
0.0.720300,0.0.731861,1.705744791,SUCCESS,0.0.3948521,0.0.4138717@1721149806.952441046
0.0.834461,0.0.731861,59.72929685,SUCCESS,0.0.3948521,0.0.4138717@1721149804.726101850
0.0.6124502,0.0.731861,3180.023848,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964808,0.0.4138717@1721149806.024910935
0.0.4713148,0.0.731861,451.9836534,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1721149808.107566517
0.0.6194411,0.0.731861,41.10849318,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1721149810.300237688
0.0.5031572,0.0.731861,0.024231424,SUCCESS,0.0.3948521,0.0.4138717@1721149809.422772916
0.0.1936619,0.0.731861,54.11484343,SUCCESS,0.0.3948521,0.0.4138717@1721149806.661113229
0.0.1512214,0.0.731861,0.65276725,SUCCESS,0.0.3964782&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964809,0.0.4138717@1721149808.212720377
0.0.1483886,0.0.731861,12806.31192,SUCCESS,0.0.3964782,0.0.4138717@1721149807.011680662
0.0.1078514,0.0.731861,0.086868092,SUCCESS,0.0.3964782,0.0.4138717@1721149810.259577930
0.0.1415474,0.0.731861,146.2611877,SUCCESS,0.0.3964782&0.0.3964785,0.0.4138717@1721149807.673761459
0.0.2152309,0.0.731861,4.35E-08,SUCCESS,0.0.3964782,0.0.4138717@1721149810.671400352
0.0.1416793,0.0.731861,0.174034638,SUCCESS,0.0.3964782,0.0.4138717@1721149809.587003703
0.0.4766646,0.0.731861,1.994265634,SUCCESS,0.0.3964785&0.0.3964804,0.0.4138717@1721149813.616648406
0.0.1429557,0.0.731861,2.743133683,SUCCESS,0.0.3964785&0.0.3964815,0.0.4138717@1721149810.827109476
0.0.3359892,0.0.731861,362.7455594,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1721149815.034102170
0.0.1082789,0.0.731861,49575.95489,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964860&0.0.6071074,0.0.4138717@1721149813.616514464
0.0.731707,0.0.731861,1055.658213,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964855,0.0.4138717@1721149813.987549303
0.0.732888,0.0.731861,76.48926236,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827,0.0.4138717@1721149811.174934567
0.0.1479798,0.0.731861,12.8274457,SUCCESS,0.0.3964790&0.0.3964837&0.0.3964860,0.0.4138717@1721149814.039192929
0.0.3965633,0.0.731861,0.040361096,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149812.459711954
0.0.731977,0.0.731861,0.559220817,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117,0.0.4138717@1721149816.445026961
0.0.835827,0.0.731861,6.135063422,SUCCESS,0.0.3964790,0.0.4138717@1721149817.025488025
0.0.1263649,0.0.731861,1.090261904,SUCCESS,0.0.3964790,0.0.4138717@1721149814.917137869
0.0.1130645,0.0.731861,123.4275363,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149815.121524281
0.0.1051402,0.0.731861,157.8483012,SUCCESS,0.0.3964790&0.0.3964800&0.0.3964827,0.0.4138717@1721149818.122055766
0.0.622222,0.0.731861,277.066428,SUCCESS,0.0.3964790&0.0.3964808,0.0.4138717@1721149815.989542521
0.0.1085174,0.0.731861,335.7980697,SUCCESS,0.0.3964790,0.0.4138717@1721149817.860187064
0.0.822962,0.0.731861,1.668535826,SUCCESS,0.0.3964790,0.0.4138717@1721149818.521904193
0.0.886182,0.0.731861,4.623047708,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149817.484506603
0.0.1528,0.0.731861,1.542845373,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964855,0.0.4138717@1721149820.134419713
0.0.3209170,0.0.731861,26.04463479,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149822.700125478
0.0.1078483,0.0.731861,234.8651301,SUCCESS,0.0.3964790,0.0.4138717@1721149822.799988187
0.0.817883,0.0.731861,2.56929E-05,SUCCESS,0.0.3964790,0.0.4138717@1721149825.636105066
0.0.3845966,0.0.731861,0.026081542,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827&0.0.3964804,0.0.4138717@1721149821.789488953
0.0.1075172,0.0.731861,0.014305424,SUCCESS,0.0.3964790,0.0.4138717@1721149825.117909354
0.0.1093567,0.0.731861,0.055361985,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149822.604634845
0.0.1724832,0.0.731861,0.01698752,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804,0.0.4138717@1721149823.450825844
0.0.1728068,0.0.731861,0.002427793,SUCCESS,0.0.3964790,0.0.4138717@1721149822.256832196
0.0.664681,0.0.731861,3.36750242,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1721149825.508513822
0.0.3954776,0.0.731861,0.061003322,SUCCESS,0.0.3964790,0.0.4138717@1721149825.681173688
0.0.1421971,0.0.731861,106.7915503,SUCCESS,0.0.3964790&0.0.3964795&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1721149824.088951794
0.0.1050426,0.0.731861,0.552858324,SUCCESS,0.0.3964790,0.0.4138717@1721149825.061872680
0.0.847393,0.0.731861,9.354344807,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149828.046133212
0.0.957742,0.0.731861,0.066271203,SUCCESS,0.0.3964790,0.0.4138717@1721149830.178822049
0.0.3076299,0.0.731861,5.16297E-05,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1721149826.207950523
