Account ID,Token ID,Airdrop Amount,Airdrop Status,Airdrop TX ID
0.0.3948479,0.0.731861,1.21009E-05,NOT_ASSOCIATED,
0.0.3958740,0.0.731861,0.000291279,SUCCESS,0.0.4138717@1712700380.258123716
0.0.1265153,0.0.731861,0.520235245,SUCCESS,0.0.4138717@1712700389.267108811
0.0.732798,0.0.731861,0.775370766,SUCCESS,0.0.4138717@1712700394.695623750
0.0.3961176,0.0.731861,0.006950969,NOT_ASSOCIATED,
0.0.165981,0.0.731861,2.74673E-05,SUCCESS,0.0.4138717@1712700399.040872614
0.0.732888,0.0.731861,83.23889204,SUCCESS,0.0.4138717@1712700411.289020697
0.0.1325925,0.0.731861,2438.686082,SUCCESS,0.0.4138717@1712700415.794286511
0.0.1930477,0.0.731861,3104.274104,SUCCESS,0.0.4138717@1712700419.617302699
0.0.1930663,0.0.731861,144.4703167,SUCCESS,0.0.4138717@1712700424.104819364
0.0.665927,0.0.731861,143.2967116,SUCCESS,0.0.4138717@1712700431.048739462
0.0.692862,0.0.731861,61.76699234,SUCCESS,0.0.4138717@1712700434.106736847
0.0.1051402,0.0.731861,190.9967855,SUCCESS,0.0.4138717@1712700448.647149453
0.0.965222,0.0.731861,749.6733027,SUCCESS,0.0.4138717@1712700455.606839128
0.0.1396279,0.0.731861,69.80963052,SUCCESS,0.0.4138717@1712700457.402390638
0.0.1419835,0.0.731861,53.36319887,SUCCESS,0.0.4138717@1712700466.015695437
0.0.1076730,0.0.731861,1.856672236,SUCCESS,0.0.4138717@1712700471.689276130
0.0.1152713,0.0.731861,15939.49259,SUCCESS,0.0.4138717@1712700471.870377522
0.0.848694,0.0.731861,5860.958656,SUCCESS,0.0.4138717@1712700479.892967380
0.0.525256,0.0.731861,60.54031029,SUCCESS,0.0.4138717@1712700497.194867591
0.0.1427613,0.0.731861,0.211534914,SUCCESS,0.0.4138717@1712700507.436602259
0.0.825160,0.0.731861,21.21667733,SUCCESS,0.0.4138717@1712700512.207741028
0.0.665616,0.0.731861,0.104286459,SUCCESS,0.0.4138717@1712700517.254962334
0.0.3854398,0.0.731861,0.316611927,SUCCESS,0.0.4138717@1712700522.757417240
0.0.1421971,0.0.731861,899.0309811,SUCCESS,0.0.4138717@1712700527.301137502
0.0.2960520,0.0.731861,752.0501399,SUCCESS,0.0.4138717@1712700534.893426487
0.0.858338,0.0.731861,1.30771E-06,SUCCESS,0.0.4138717@1712700537.795823688
0.0.4315617,0.0.731861,1.196483931,SUCCESS,0.0.4138717@1712700547.274804581
0.0.1744105,0.0.731861,8.02E-08,SUCCESS,0.0.4138717@1712700552.981681040
0.0.4338310,0.0.731861,0.235801151,SUCCESS,0.0.4138717@1712700558.598961797
0.0.1097257,0.0.731861,0.577430274,SUCCESS,0.0.4138717@1712700560.772308209
0.0.4279368,0.0.731861,0.144269655,SUCCESS,0.0.4138717@1712700569.285686977
0.0.3313554,0.0.731861,522.1506252,SUCCESS,0.0.4138717@1712700574.923103002
