account,amount,state,token address,pool address,tx id
0.0.4345324,0.009277497619354095,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181519.602189012
0.0.4923080,0.01187177763121477,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181518.420609385
0.0.3242760,2.373596134354524,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181519.813398265
0.0.5797983,0.08320513193083656,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181516.943529527
0.0.850535,20.61580664202315,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181518.070542905
0.0.6244791,0.08973446326870013,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181519.489571077
0.0.6313910,14.18309875879641,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181520.478555118
0.0.6289117,6.71750524715153,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181517.324338542
0.0.6440477,0.05399716906724682,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181520.360279702
0.0.874760,14.16834820985008,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181517.682414161
0.0.2968839,1.420236779926615,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181524.200074166
0.0.4702708,0.01082624344544706,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181524.065910082
0.0.6026305,0.01621397968990239,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181524.483448331
0.0.6781119,3.174086352769434,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181522.587009040
0.0.7262531,0.00848759901159402,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181521.819883578
0.0.7138336,0.001035838507970431,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181524.312751186
0.0.1340928,30.07003047309533,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181522.915161183
0.0.7479340,0.2852924050639126,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181523.587327317
0.0.5078033,0.1549721465543162,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181529.133048182
0.0.4229805,0.04285276830089545,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181527.626140059
0.0.5975196,0.01335994549800831,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181528.687783449
0.0.4938729,0.1233855391498233,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181531.448348733
0.0.4322002,0.03563116680544058,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181531.052205666
0.0.4968045,0.2317441514378441,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181531.959981579
0.0.2930231,0.06645015146954239,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181535.704992650
0.0.4558891,0.3273634086661218,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181534.228090096
0.0.5976303,0.05253625085135263,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181538.108389774
0.0.4318411,0.4480214433672381,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181540.362994211
0.0.3681428,61.43905294436296,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181536.132514522
0.0.4329852,2.647101852259386,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181537.979198798
0.0.1726157,0.5964928093050378,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181542.148051293
0.0.3969243,0.002405959957369096,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181540.908741058
0.0.4732964,0.01013677027147929,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181541.016441699
0.0.4432149,0.02706913442725123,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181545.705709117
0.0.1412123,0.04673130601107184,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181545.681320904
0.0.4184733,8.126647461289798,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181545.614835203
0.0.4775299,0.0748753247681603,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181547.063332068
0.0.4758169,0.04460216234786753,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181546.241830858
0.0.3071320,2.311154240364782,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181546.327502098
0.0.4330219,0.01433790840242149,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181548.899761672
0.0.2960169,0.04949116191832759,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181549.492530486
0.0.1991961,1.552734252440132,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181547.591363336
0.0.8068689,1.24217426111468,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181550.340357263
0.0.7889838,0.002752537205216996,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181549.489758208
0.0.6258771,0.2256732637579265,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181547.705241721
0.0.1379217,0.2815362410914354,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181553.388525811
0.0.4912200,8.838977996796107,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181554.075718727
0.0.4342759,1.686431109002538,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181555.969630103
0.0.1691323,2.752809368023642,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181555.195758242
0.0.8616856,5.069940094138977,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181557.086845866
0.0.856667,0.5945171656969473,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181554.286968698
0.0.8531519,0.2059034652180027,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181556.946940025
0.0.2122027,1.794794121228486,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181556.956329884
0.0.4531253,0.006479873491551297,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181556.848397313
0.0.9104463,0.7749665993517566,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181555.447014934
0.0.7788937,0.001493938926609004,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181556.285600383
0.0.9150357,0.3043357847562137,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181559.813080635
0.0.7526203,0.2543821665615023,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181558.118791828
0.0.8899262,0.1937155184065731,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181560.302608018
0.0.3310398,0.1350437114215531,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181565.954380868
0.0.7835270,0.4397070799686078,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181563.664634801
0.0.4551977,0.007404623538651731,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181563.354513084
0.0.4766933,1.374612718064429,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181567.240926706
0.0.1110477,0.7525821899481663,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181568.676241074
0.0.1490591,1.6120734980491,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181566.514073803
0.0.1023917,7.207717654859442,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181565.685897167
0.0.1506598,0.1372874175558924,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181570.964702786
0.0.4559340,0.00897186136656996,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181568.117370239
0.0.7798148,0.211940261856854,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181571.074793185
0.0.7843482,0.1584859436876041,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181572.454393501
0.0.4817549,0.3528845821948008,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181569.769814299
0.0.4503599,0.1055729739089809,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181576.426484099
0.0.4347838,0.1911246217487266,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181574.779967924
0.0.1877739,0.008381973164728261,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181574.696233492
0.0.4864609,0.008028188368592707,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181575.888303165
0.0.598828,0.007823813573810443,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181576.547943636
0.0.4302086,0.009565385798573212,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181576.372944121
0.0.7991960,2.40491296226109,SUCCESS,hbar,0.0.3951117&0.0.3964804,0.0.4138717@1785181579.530640114
0.0.1601282,0.005939198503546401,SUCCESS,hbar,0.0.3951117,0.0.4138717@1785181576.208610261
