account,token address,amount,state,pool address,tx id,,,,
0.0.3958740,0.0.731861,7.64359E-05,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1725920938.413360853,,,,
0.0.1265153,0.0.731861,0.051355978,SUCCESS,0.0.3948521&0.0.3964782&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964837&0.0.3964840&0.0.3964815,0.0.4138717@1725920938.331635203,,,,
0.0.165981,0.0.731861,5.01452E-05,SUCCESS,0.0.3948521,0.0.4138717@1725920936.169437430,,,,
0.0.7951,0.0.731861,7711.347782,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964804,0.0.4138717@1725920938.158213475,,,,
0.0.1325925,0.0.731861,584.6847868,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1725920937.527731402,,,,
0.0.665927,0.0.731861,47.56709382,SUCCESS,0.0.3948521,0.0.4138717@1725920937.198635833,,,,
0.0.1106819,0.0.731861,7799.344353,SUCCESS,0.0.3948521&0.0.3964821&0.0.3964825,0.0.4138717@1725920939.795970979,,,,
0.0.1140907,0.0.731861,57.55261235,SUCCESS,0.0.3948521,0.0.4138717@1725920935.627908768,,,,
0.0.1152713,0.0.731861,22002.36337,SUCCESS,0.0.3948521&0.0.3961531,0.0.4138717@1725920935.995576317,,,,
0.0.1427613,0.0.731861,0.294919674,SUCCESS,0.0.3948521,0.0.4138717@1725920939.974963846,,,,
0.0.1465114,0.0.731861,5406.42641,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790,0.0.4138717@1725920942.866041370,,,,
0.0.2960520,0.0.731861,23.17626265,SUCCESS,0.0.3948521&0.0.3964790,0.0.4138717@1725920940.675905566,,,,
0.0.2005033,0.0.731861,2.258880889,SUCCESS,0.0.3948521,0.0.4138717@1725920941.907571617,,,,
0.0.1097257,0.0.731861,2.569727549,SUCCESS,0.0.3948521&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964837&0.0.3964840&0.0.3964804&0.0.3964808&0.0.3964821&0.0.3964860,0.0.4138717@1725920945.400910224,,,,
0.0.896352,0.0.731861,71.58609169,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1725920943.787161523,,,,
0.0.3313554,0.0.731861,30.46236429,SUCCESS,0.0.3948521,0.0.4138717@1725920943.177723257,,,,
0.0.1338331,0.0.731861,6.329924515,SUCCESS,0.0.3948521&0.0.3964804,0.0.4138717@1725920945.122015873,,,,
0.0.4544530,0.0.731861,734.0390302,SUCCESS,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1725920942.076181665,,,,
0.0.6034631,0.0.731861,45.44763664,NOT_ASSOCIATED,0.0.3948521&0.0.3964804,,,,,
0.0.6099825,0.0.731861,35.30164777,NOT_ASSOCIATED,0.0.3948521&0.0.3964804,,,,,
0.0.163681,0.0.731861,2001.580542,SUCCESS,0.0.3948521&0.0.3964800&0.0.3964827&0.0.3964804&0.0.3964825,0.0.4138717@1725920942.719391869,,,,
0.0.5118079,0.0.731861,37.65512742,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1725920945.992438599,,,,
0.0.5118232,0.0.731861,0.362188229,SUCCESS,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1725920946.048549960,,,,
