Account ID,Token ID,Airdrop Amount,Airdrop Status,Airdrop TX ID
0.0.3948479,0.0.731861,2.420669727,NOT_ASSOCIATED,
0.0.3961176,0.0.731861,2.277464485,NOT_ASSOCIATED,
0.0.1485845,0.0.731861,1.183361304,NOT_ASSOCIATED,
0.0.1324436,0.0.731861,18.175043,NOT_ASSOCIATED,
0.0.4138268,0.0.731861,2.78068871,NOT_ASSOCIATED,
0.0.4176620,0.0.731861,12.81586117,NOT_ASSOCIATED,
0.0.4314113,0.0.731861,1.288807551,NOT_ASSOCIATED,
0.0.4335793,0.0.731861,4.24E-08,NOT_ASSOCIATED,
0.0.4340074,0.0.731861,0.081865633,NOT_ASSOCIATED,
0.0.4343542,0.0.731861,47.20014547,NOT_ASSOCIATED,
0.0.980747,0.0.731861,0.456801849,NOT_ASSOCIATED,
0.0.748101,0.0.731861,0.547891112,NOT_ASSOCIATED,
0.0.839992,0.0.731861,0.35046927,NOT_ASSOCIATED,
0.0.4329190,0.0.731861,0.004136485,NOT_ASSOCIATED,
0.0.4314310,0.0.731861,0.018072801,SUCCESS,0.0.4138717@1706568401.215806174
0.0.4356727,0.0.731861,2.983310943,SUCCESS,0.0.4138717@1706568405.368831863
0.0.1986218,0.0.731861,32.2411538,SUCCESS,0.0.4138717@1706568413.776589548
0.0.4329339,0.0.731861,0.980333903,NOT_ASSOCIATED,
0.0.3768895,0.0.731861,1.75637E-05,SUCCESS,0.0.4138717@1706568414.187404932
0.0.2162364,0.0.731861,0.525937011,SUCCESS,0.0.4138717@1706568423.363761355
0.0.4161393,0.0.731861,3.020368779,NOT_ASSOCIATED,
0.0.1999257,0.0.731861,22.14290456,NOT_ASSOCIATED,
0.0.848844,0.0.731861,137.9121248,NOT_ASSOCIATED,
0.0.3936139,0.0.731861,53.56630086,NOT_ASSOCIATED,
0.0.3291464,0.0.731861,0.000201044,SUCCESS,0.0.4138717@1706568427.438719798
0.0.3109473,0.0.731861,1.422281489,NOT_ASSOCIATED,
0.0.4330417,0.0.731861,2.936134643,NOT_ASSOCIATED,
0.0.3958630,0.0.731861,17.1998105,SUCCESS,0.0.4138717@1706568433.662803886
0.0.4330743,0.0.731861,8.595784381,NOT_ASSOCIATED,
0.0.4330769,0.0.731861,6.139037358,NOT_ASSOCIATED,
0.0.4335692,0.0.731861,0.26799891,SUCCESS,0.0.4138717@1706568442.687376162
0.0.4337335,0.0.731861,0.126992739,NOT_ASSOCIATED,
0.0.4337675,0.0.731861,25.3321691,NOT_ASSOCIATED,
0.0.4333525,0.0.731861,2.195437859,NOT_ASSOCIATED,
0.0.4343716,0.0.731861,4.897304397,SUCCESS,0.0.4138717@1706568444.821055649
0.0.4346623,0.0.731861,3.572891448,NOT_ASSOCIATED,
0.0.4346668,0.0.731861,4.86516896,NOT_ASSOCIATED,
0.0.4346782,0.0.731861,1.237411678,NOT_ASSOCIATED,
0.0.4349973,0.0.731861,39.86225206,SUCCESS,0.0.4138717@1706568450.485650879
0.0.4350031,0.0.731861,5.339053928,NOT_ASSOCIATED,
0.0.4351736,0.0.731861,19.79656296,NOT_ASSOCIATED,
0.0.4351860,0.0.731861,1.6236242,NOT_ASSOCIATED,
0.0.4352253,0.0.731861,1.199376948,NOT_ASSOCIATED,
0.0.4352981,0.0.731861,4.32761575,NOT_ASSOCIATED,
0.0.4354651,0.0.731861,0.003129807,NOT_ASSOCIATED,
0.0.4355567,0.0.731861,0.168681741,SUCCESS,0.0.4138717@1706568456.882928148
0.0.4356195,0.0.731861,2.712667935,NOT_ASSOCIATED,
0.0.4357576,0.0.731861,34.2361172,NOT_ASSOCIATED,
0.0.4351099,0.0.731861,43.83059392,NOT_ASSOCIATED,
0.0.4362442,0.0.731861,1.33528025,SUCCESS,0.0.4138717@1706568463.327484651
0.0.3023498,0.0.731861,16.09855057,NOT_ASSOCIATED,
0.0.4360841,0.0.731861,45.55580759,NOT_ASSOCIATED,
0.0.4364265,0.0.731861,15.15995779,SUCCESS,0.0.4138717@1706568471.649374617
0.0.4364474,0.0.731861,5.963016997,NOT_ASSOCIATED,
0.0.4364780,0.0.731861,1.608091701,SUCCESS,0.0.4138717@1706568475.137190654
0.0.4325532,0.0.731861,4.458077016,NOT_ASSOCIATED,
0.0.4364874,0.0.731861,0.339871304,NOT_ASSOCIATED,
0.0.828443,0.0.731861,0.000345029,NOT_ASSOCIATED,
0.0.4367595,0.0.731861,11.56810782,SUCCESS,0.0.4138717@1706568483.075367388
0.0.4375703,0.0.731861,84.15313848,SUCCESS,0.0.4138717@1706568493.332889227
0.0.4137908,0.0.731861,30.46284626,SUCCESS,0.0.4138717@1706568498.000006347
0.0.3108153,0.0.731861,1.081073861,NOT_ASSOCIATED,
0.0.4179053,0.0.731861,0.040362385,NOT_ASSOCIATED,
0.0.4329668,0.0.731861,6.373272261,NOT_ASSOCIATED,
0.0.3958701,0.0.731861,3.756338228,SUCCESS,0.0.4138717@1706568501.923127300
0.0.4354539,0.0.731861,20.5485276,NOT_ASSOCIATED,
0.0.4324520,0.0.731861,22.29572063,NOT_ASSOCIATED,
0.0.4362542,0.0.731861,13816.26635,SUCCESS,0.0.4138717@1706568503.893679707
0.0.4346105,0.0.731861,8.20929825,SUCCESS,0.0.4138717@1706568509.114701097
0.0.3708877,0.0.731861,3.795235963,NOT_ASSOCIATED,
0.0.4313332,0.0.731861,31.23458148,SUCCESS,0.0.4138717@1706568514.841161818
0.0.4341246,0.0.731861,64.44127382,NOT_ASSOCIATED,
0.0.4367746,0.0.731861,1.211538108,NOT_ASSOCIATED,
0.0.3958740,0.0.731861,0.00286856,SUCCESS,0.0.4138717@1706568522.004358574
0.0.512388,0.0.731861,9.480634664,SUCCESS,0.0.4138717@1706568526.494904437
0.0.1265153,0.0.731861,2.510812335,SUCCESS,0.0.4138717@1706568530.169743590
0.0.732798,0.0.731861,0.047577092,SUCCESS,0.0.4138717@1706568531.352040109
0.0.3359892,0.0.731861,10402.2132,SUCCESS,0.0.4138717@1706568536.556989913
0.0.165981,0.0.731861,31.96688319,SUCCESS,0.0.4138717@1706568542.725955308
0.0.7951,0.0.731861,30300.87379,SUCCESS,0.0.4138717@1706568546.224685134
0.0.732888,0.0.731861,268.3202962,SUCCESS,0.0.4138717@1706568551.078132735
0.0.1325925,0.0.731861,11407.36252,SUCCESS,0.0.4138717@1706568557.535046771
0.0.1930477,0.0.731861,463.2578302,SUCCESS,0.0.4138717@1706568560.630534284
0.0.1930663,0.0.731861,3348.081907,SUCCESS,0.0.4138717@1706568568.425578863
0.0.665927,0.0.731861,158.7205256,SUCCESS,0.0.4138717@1706568570.080061133
0.0.692862,0.0.731861,135.2364677,SUCCESS,0.0.4138717@1706568574.069234469
0.0.842247,0.0.731861,21.12881412,SUCCESS,0.0.4138717@1706568583.354045723
0.0.965222,0.0.731861,1748.98753,SUCCESS,0.0.4138717@1706568586.663989726
0.0.1396279,0.0.731861,669.0389397,SUCCESS,0.0.4138717@1706568594.716735478
0.0.1419835,0.0.731861,567.9690389,SUCCESS,0.0.4138717@1706568600.035604785
0.0.795476,0.0.731861,1122.304901,SUCCESS,0.0.4138717@1706568602.224121954
0.0.1483886,0.0.731861,1479.825014,SUCCESS,0.0.4138717@1706568606.779394645
0.0.1076730,0.0.731861,116.5957474,SUCCESS,0.0.4138717@1706568616.760949955
0.0.1353438,0.0.731861,200.5639232,SUCCESS,0.0.4138717@1706568622.298731994
0.0.2822820,0.0.731861,190.7358029,SUCCESS,0.0.4138717@1706568625.147246109
0.0.1424822,0.0.731861,56.81109738,SUCCESS,0.0.4138717@1706568630.145861156
0.0.1309628,0.0.731861,608.6493576,SUCCESS,0.0.4138717@1706568634.805247578
0.0.1152713,0.0.731861,12391.43165,SUCCESS,0.0.4138717@1706568641.443530749
0.0.525256,0.0.731861,546.2869883,SUCCESS,0.0.4138717@1706568646.682266937
0.0.1427613,0.0.731861,2.231301373,SUCCESS,0.0.4138717@1706568649.307433677
0.0.1120955,0.0.731861,23.97777399,SUCCESS,0.0.4138717@1706568657.669158387
0.0.825160,0.0.731861,225.818843,SUCCESS,0.0.4138717@1706568663.227160746
0.0.3854398,0.0.731861,3.369846177,SUCCESS,0.0.4138717@1706568668.505389758
0.0.2960520,0.0.731861,495.2642209,SUCCESS,0.0.4138717@1706568673.025628397
0.0.858338,0.0.731861,1.39186E-05,SUCCESS,0.0.4138717@1706568676.306425123
0.0.866891,0.0.731861,14.87283855,SUCCESS,0.0.4138717@1706568684.195120504
0.0.4315617,0.0.731861,12.84576418,SUCCESS,0.0.4138717@1706568686.679581605
0.0.1744105,0.0.731861,8.54E-07,SUCCESS,0.0.4138717@1706568694.907550248
0.0.4338310,0.0.731861,4.416464224,SUCCESS,0.0.4138717@1706568699.517885880
0.0.3242760,0.0.731861,92.48643852,SUCCESS,0.0.4138717@1706568704.550725010
0.0.1097257,0.0.731861,3.708859134,SUCCESS,0.0.4138717@1706568714.604085613
0.0.4279368,0.0.731861,4.364316062,SUCCESS,0.0.4138717@1706568715.939308707
0.0.3313554,0.0.731861,1977.223947,SUCCESS,0.0.4138717@1706568725.549749987
0.0.4361329,0.0.731861,11.1849592,SUCCESS,0.0.4138717@1706568731.013633294
0.0.4325763,0.0.731861,78.86625537,SUCCESS,0.0.4138717@1706568739.373861665
0.0.1111866,0.0.731861,832.8880334,SUCCESS,0.0.4138717@1706568740.607156860
0.0.837492,0.0.731861,2049.849861,SUCCESS,0.0.4138717@1706568749.825916450
0.0.1344364,0.0.731861,0.000778671,SUCCESS,0.0.4138717@1706568752.054639464
0.0.4337358,0.0.731861,0.000117688,SUCCESS,0.0.4138717@1706568760.128992339
0.0.732716,0.0.731861,9.99599E-06,SUCCESS,0.0.4138717@1706568767.921994379
0.0.1093446,0.0.731861,168.2141574,SUCCESS,0.0.4138717@1706568772.133908761
0.0.1096207,0.0.731861,0.012970667,SUCCESS,0.0.4138717@1706568775.867786432
0.0.4187576,0.0.731861,0.520488673,SUCCESS,0.0.4138717@1706568778.602216605
0.0.697581,0.0.731861,22.92670373,SUCCESS,0.0.4138717@1706568782.790824093
0.0.1127662,0.0.731861,3.706251442,SUCCESS,0.0.4138717@1706568789.217718209
0.0.4558796,0.0.731861,1.09669528,NOT_ASSOCIATED,
0.0.1476413,0.0.731861,3.065891979,SUCCESS,0.0.4138717@1706568791.154573377
0.0.1088188,0.0.731861,16282.47401,SUCCESS,0.0.4138717@1706568802.791276502
0.0.3965045,0.0.731861,0.034312425,SUCCESS,0.0.4138717@1706568807.177777905
0.0.1415474,0.0.731861,84.96069953,SUCCESS,0.0.4138717@1706568807.695395807
0.0.4360413,0.0.731861,1746.109011,SUCCESS,0.0.4138717@1706568813.179567363
0.0.1085174,0.0.731861,7901.52858,SUCCESS,0.0.4138717@1706568822.791486495
0.0.1453734,0.0.731861,86.89727773,SUCCESS,0.0.4138717@1706568826.478170445
0.0.1421971,0.0.731861,34.35402727,SUCCESS,0.0.4138717@1706568833.394914839
0.0.2082077,0.0.731861,3.065783388,SUCCESS,0.0.4138717@1706568837.039387992
0.0.2005033,0.0.731861,215.1080662,SUCCESS,0.0.4138717@1706568841.039413976
0.0.4558807,0.0.731861,1.785076016,NOT_ASSOCIATED,
0.0.699534,0.0.731861,0.002422486,SUCCESS,0.0.4138717@1706568847.166154687
0.0.2185216,0.0.731861,3337.257971,SUCCESS,0.0.4138717@1706568852.272079625
0.0.150654,0.0.731861,134.5766461,SUCCESS,0.0.4138717@1706568854.142377492
0.0.1067361,0.0.731861,2.933884811,SUCCESS,0.0.4138717@1706568857.545120516
0.0.731707,0.0.731861,1704.606735,SUCCESS,0.0.4138717@1706568865.940486961
0.0.820781,0.0.731861,7858.672649,SUCCESS,0.0.4138717@1706568869.452064387
0.0.1413017,0.0.731861,633.4541136,SUCCESS,0.0.4138717@1706568875.283400341
0.0.3965633,0.0.731861,0.087279543,SUCCESS,0.0.4138717@1706568880.137802551
0.0.982545,0.0.731861,4.735180623,SUCCESS,0.0.4138717@1706568884.878471014
0.0.1061257,0.0.731861,1.936046625,SUCCESS,0.0.4138717@1706568888.373612065
0.0.585529,0.0.731861,431.5591966,SUCCESS,0.0.4138717@1706568892.427181849
0.0.731977,0.0.731861,13.13390111,SUCCESS,0.0.4138717@1706568899.392361213
0.0.835827,0.0.731861,13.45546412,SUCCESS,0.0.4138717@1706568906.213215825
0.0.690873,0.0.731861,1.683824796,SUCCESS,0.0.4138717@1706568907.556184795
0.0.1497563,0.0.731861,3.146024251,SUCCESS,0.0.4138717@1706568914.887371057
0.0.1008009,0.0.731861,1182.411952,SUCCESS,0.0.4138717@1706568919.064357001
0.0.1263649,0.0.731861,0.995074165,SUCCESS,0.0.4138717@1706568923.601406266
0.0.1130645,0.0.731861,74.98474621,SUCCESS,0.0.4138717@1706568929.848203064
0.0.622222,0.0.731861,49.35797739,SUCCESS,0.0.4138717@1706568931.397961655
0.0.836544,0.0.731861,11.36136347,SUCCESS,0.0.4138717@1706568938.980804446
0.0.904709,0.0.731861,0.304309246,SUCCESS,0.0.4138717@1706568943.444323746
0.0.565201,0.0.731861,129.3676141,SUCCESS,0.0.4138717@1706568953.741132183
0.0.665092,0.0.731861,294.1211488,SUCCESS,0.0.4138717@1706568956.889637759
0.0.1033493,0.0.731861,14.0466161,SUCCESS,0.0.4138717@1706568959.768030038
0.0.838625,0.0.731861,0.587082412,SUCCESS,0.0.4138717@1706568971.876655172
0.0.481717,0.0.731861,16.83317261,SUCCESS,0.0.4138717@1706568975.972043410
0.0.842953,0.0.731861,5671.693877,SUCCESS,0.0.4138717@1706568978.989407440
0.0.1427437,0.0.731861,0.504812487,SUCCESS,0.0.4138717@1706568985.863814643
0.0.886182,0.0.731861,181.7993687,SUCCESS,0.0.4138717@1706568989.494772910
0.0.3929354,0.0.731861,2.563273742,SUCCESS,0.0.4138717@1706568991.943402445
0.0.1407959,0.0.731861,0.089151345,SUCCESS,0.0.4138717@1706568999.473342864
0.0.1078483,0.0.731861,337.391385,SUCCESS,0.0.4138717@1706569001.975608914
0.0.1044659,0.0.731861,0.061165231,SUCCESS,0.0.4138717@1706569009.210543067
0.0.1054756,0.0.731861,5.554011545,SUCCESS,0.0.4138717@1706569014.966027870
0.0.1300860,0.0.731861,0.121237664,SUCCESS,0.0.4138717@1706569017.395501001
0.0.1075172,0.0.731861,0.012903323,SUCCESS,0.0.4138717@1706569024.061119734
0.0.1088394,0.0.731861,0.048651686,SUCCESS,0.0.4138717@1706569027.922142766
0.0.955861,0.0.731861,5.600698943,SUCCESS,0.0.4138717@1706569031.215639901
0.0.587477,0.0.731861,0.083830781,SUCCESS,0.0.4138717@1706569034.175021903
0.0.1728068,0.0.731861,0.17659927,SUCCESS,0.0.4138717@1706569042.193387382
0.0.154447,0.0.731861,3.253152254,SUCCESS,0.0.4138717@1706569050.295242332
0.0.660703,0.0.731861,784.457744,SUCCESS,0.0.4138717@1706569052.717656431
0.0.597763,0.0.731861,191.0454293,SUCCESS,0.0.4138717@1706569059.117938377
0.0.2137953,0.0.731861,17.92562656,SUCCESS,0.0.4138717@1706569064.108625590
0.0.836096,0.0.731861,1.520880954,SUCCESS,0.0.4138717@1706569064.807770753
0.0.835670,0.0.731861,3.015300718,SUCCESS,0.0.4138717@1706569074.809077994
0.0.732759,0.0.731861,1.327702058,SUCCESS,0.0.4138717@1706569082.162600658
0.0.1465114,0.0.731861,999.7212703,SUCCESS,0.0.4138717@1706569084.749491888
0.0.2012848,0.0.731861,0.012336611,SUCCESS,0.0.4138717@1706569088.441474440
0.0.1424665,0.0.731861,2.28E-07,SUCCESS,0.0.4138717@1706569093.962192206
0.0.2030460,0.0.731861,4.27229E-05,SUCCESS,0.0.4138717@1706569101.492886354
0.0.1791597,0.0.731861,4.92941E-06,SUCCESS,0.0.4138717@1706569106.837858375
0.0.834802,0.0.731861,25.64974147,SUCCESS,0.0.4138717@1706569116.930640431
0.0.1050426,0.0.731861,0.482291934,SUCCESS,0.0.4138717@1706569118.186503427
0.0.1093565,0.0.731861,0.327777065,SUCCESS,0.0.4138717@1706569124.555777016
0.0.1978521,0.0.731861,0.107702968,SUCCESS,0.0.4138717@1706569130.692172792
0.0.847393,0.0.731861,177.1381343,SUCCESS,0.0.4138717@1706569137.840035790
0.0.957742,0.0.731861,0.473295948,SUCCESS,0.0.4138717@1706569137.331810362
0.0.1784009,0.0.731861,2.957975684,SUCCESS,0.0.4138717@1706569144.762461927
0.0.2014278,0.0.731861,2.403024753,SUCCESS,0.0.4138717@1706569147.223631358
0.0.972829,0.0.731861,4.08E-07,SUCCESS,0.0.4138717@1706569153.432784968
0.0.947335,0.0.731861,0.010213923,SUCCESS,0.0.4138717@1706569158.214691834
0.0.1444714,0.0.731861,51.4135413,SUCCESS,0.0.4138717@1706569161.138859499
0.0.2020001,0.0.731861,27.80744605,SUCCESS,0.0.4138717@1706569167.719731751
