account,token address,amount,state,pool address,tx id,,,,
0.0.3958740,0.00002923111564301090,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1729542978.084339201,,,,
0.0.1265153,0.01573415125650720,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964795&0.0.3951117&0.0.3964827&0.0.3964840&0.0.3964815,0.0.4138717@1729542975.238045600,,,,
0.0.165981,0.00001805806127256550,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542977.817060065,,,,
0.0.7951,4052.748677568250,SUCCESS,hbar,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964855&0.0.3964804&0.0.3964815&0.0.6071041,0.0.4138717@1729542977.737520492,,,,
0.0.820781,765.5130517338620,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964815&0.0.3964821&0.0.3964825&0.0.6071074&0.0.4601632&0.0.6071119&0.0.5328590&0.0.6078473,0.0.4138717@1729542977.039608775,,,,
0.0.1325925,652.7529028723970,SUCCESS,hbar,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3961531&0.0.3964795&0.0.3964800,0.0.4138717@1729542978.872469055,,,,
0.0.665927,17.06277095065300,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542978.076858833,,,,
0.0.1140907,23.77361126872140,SUCCESS,hbar,0.0.3948521&0.0.6071041,0.0.4138717@1729542978.065716488,,,,
0.0.1152713,9560.012744742660,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1729542979.793373401,,,,
0.0.1088394,35.067092357657,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964860,0.0.4138717@1729542979.605915172,,,,
0.0.1427613,0.1062051544512100,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542980.520034893,,,,
0.0.1421971,35.90373808744290,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964821&0.0.6071074&0.0.6071119&0.0.6071041,0.0.4138717@1729542983.170961079,,,,
0.0.2960520,133.1566577541050,SUCCESS,hbar,0.0.3948521&0.0.3964790,0.0.4138717@1729542984.369756986,,,,
0.0.2005033,1.014161989864910,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542981.932903931,,,,
0.0.1097257,4.198031938044430,SUCCESS,hbar,0.0.3948521&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964837&0.0.3964840&0.0.3964804&0.0.3964808&0.0.3964821&0.0.3964825&0.0.3964860,0.0.4138717@1729542983.507167636,,,,
0.0.896352,28.83778353903840,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.4601632&0.0.6071119&0.0.6071041,0.0.4138717@1729542981.731288405,,,,
0.0.3313554,13.67658300677930,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542985.407873602,,,,
0.0.1338331,2.115011523523650,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1729542983.172501796,,,,
0.0.4544530,146.6123075552570,SUCCESS,hbar,0.0.3948521&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964860&0.0.4601632&0.0.4129330&0.0.6078459&0.0.6078473,0.0.4138717@1729542983.028315922,,,,
0.0.6034631,14.85918511580410,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1729542986.246746280,,,,
0.0.6099825,11.54193612614220,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1729542983.293678320,,,,
0.0.5118079,2.136273405296010,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1729542985.099309460,,,,
0.0.5118232,0.2346548357218050,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542985.683309731,,,,
0.0.5129249,4.589354887862890,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964804,0.0.4138717@1729542985.446371224,,,,
0.0.5119346,4.701825676331440,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542986.198517491,,,,
0.0.5188747,7.930141503956340,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542986.530260145,,,,
0.0.5182107,0.3131718685772500,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542989.263942886,,,,
0.0.1339713,2.05358968156105E-08,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542987.905032720,,,,
0.0.5119059,1.424397517813640,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542988.987641315,,,,
0.0.5273155,1.025042142833240,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1729542986.365428942,,,,
0.0.5310061,0.7412980590216790,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542992.356946524,,,,
0.0.4744252,4.01732397935276E-08,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542989.340192996,,,,
0.0.5687394,9.63462664100258E-09,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542988.887102786,,,,
0.0.5976303,0.3788427426162720,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542991.739120697,,,,
0.0.6079373,2.78629498372757E-08,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542990.506259516,,,,
0.0.5181423,4.358569001511560,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3951117&0.0.3964804,0.0.4138717@1729542992.969642757,,,,
0.0.6096464,2.929192684796620,SUCCESS,hbar,0.0.3948521&0.0.3964808,0.0.4138717@1729542993.835174983,,,,
0.0.6440477,0.3675495360403740,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1729542995.129591778,,,,
0.0.3918882,1.05226012272837E-09,FAIL,hbar,0.0.3948521,,,,,
0.0.1049025,1.0240343395717E-09,FAIL,hbar,0.0.3948521,,,,,
0.0.3000165,38.65464600292320,SUCCESS,hbar,0.0.3948521&0.0.3964837&0.0.3964821&0.0.3964825,0.0.4138717@1729542993.541527915,,,,
0.0.4712184,0.002088546926282950,SUCCESS,hbar,0.0.3948521&0.0.3964782&0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964840&0.0.3964855,0.0.4138717@1729542991.804818799,,,,
0.0.1353334,0.6292000368690640,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1729542997.194153944,,,,
0.0.4313767,0.005100514254865560,SUCCESS,hbar,0.0.3948521&0.0.3964790,0.0.4138717@1729542995.361672418,,,,
0.0.4865794,79.05250649767490,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542995.225377507,,,,
0.0.4880246,8.521591747392010,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964804&0.0.3964809,0.0.4138717@1729542997.136386714,,,,
0.0.3971792,0.003012523654149670,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542999.263450146,,,,
0.0.5612523,0.007577604360990230,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542998.394017527,,,,
0.0.6033605,1.05850231968426E-08,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542996.569213671,,,,
0.0.720300,0.9689945872002200,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729543000.114995965,,,,
0.0.5031572,0.009299942077229480,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542997.700694351,,,,
0.0.1936619,304.0400675731010,SUCCESS,hbar,0.0.3948521,0.0.4138717@1729542998.347113318,,,,
0.0.6870514,27.80464365025260,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.6071119&0.0.6071041,0.0.4138717@1729543001.408252620,,,,
0.0.692862,3.36881966975672E-10,FAIL,hbar,0.0.3964782,,,,,
0.0.1483886,6095.512044878770,SUCCESS,hbar,0.0.3964782,0.0.4138717@1729543000.796275803,,,,
0.0.1415474,57.98059603435330,SUCCESS,hbar,0.0.3964782&0.0.3964785,0.0.4138717@1729543002.888400084,,,,
