account,amount,state,token address,pool address,tx id
0.0.914727,29.56706225579318,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1732118405.946318256
0.0.4337411,2925.654431377746,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964804&0.0.3964827&0.0.3964860&0.0.4601632&0.0.6071119,0.0.4138717@1732118404.630513182
0.0.7349062,17.3337448147354,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964827&0.0.4601632,0.0.4138717@1732118405.970842658
0.0.1315573,5.284471716530097,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118402.531355234
0.0.2960520,0.2918760843117422,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118403.123256759
0.0.2005033,0.4241528683304948,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118403.736081001
0.0.3313554,40.03969167135499,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118406.156237017
0.0.1338331,8.37480161472941,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1732118404.730693472
0.0.820781,212.7608148000738,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964821&0.0.3964825&0.0.3964855&0.0.4601632&0.0.5328590&0.0.6071074,0.0.4138717@1732118406.438837063
0.0.1285385,0.01250699462817881,FAIL,hbar,0.0.3948521&0.0.3961531&0.0.3964795,
0.0.953203,782.3708361220081,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118406.904805713
0.0.720300,5.135970527867469,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118409.178294385
0.0.4865794,496.8837619353712,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118411.641389364
0.0.1353334,3.477880067797571,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1732118408.258823714
0.0.665927,200.6044159307553,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118410.279207446
0.0.1152713,5851.641971756968,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1732118408.346780987
0.0.5052897,1.616863846430606,SUCCESS,hbar,0.0.3948521&0.0.3951117,0.0.4138717@1732118408.224711987
0.0.2595,1.341225571916997,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118407.827861836
0.0.1404780,4.589948678910534,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118411.163085272
0.0.1882571,446.3829949211472,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.3964860,0.0.4138717@1732118413.193064777
0.0.1269724,0.4116564168983848,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118410.047587174
0.0.4544530,441.6425970593742,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964785&0.0.3964790&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964815&0.0.3964821&0.0.3964825&0.0.3964827&0.0.3964834&0.0.3964837&0.0.3964855&0.0.3964860&0.0.3964840&0.0.4129330&0.0.4601632&0.0.6071041&0.0.6078459&0.0.6078473,0.0.4138717@1732118414.144485560
0.0.1325925,2652.966156377191,SUCCESS,hbar,0.0.3948521&0.0.3961531&0.0.3964782&0.0.3964785&0.0.3964795&0.0.3964800,0.0.4138717@1732118416.442449323
0.0.5273155,21.60602035817919,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.3964808,0.0.4138717@1732118414.772978859
0.0.163681,668.3269800994448,SUCCESS,hbar,0.0.3948521&0.0.3964804&0.0.4601632,0.0.4138717@1732118415.403568039
0.0.1265153,0.2164759066929341,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3961531&0.0.3964782&0.0.3964795&0.0.3964800&0.0.3964815&0.0.3964827&0.0.3964834&0.0.3964840,0.0.4138717@1732118414.722394531
0.0.1140907,694.8015875140967,SUCCESS,hbar,0.0.3948521&0.0.6071041,0.0.4138717@1732118417.874194239
0.0.5119059,2.685474320603862,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1732118413.912896666
0.0.3958740,0.0003940394874216436,SUCCESS,hbar,0.0.3948521&0.0.3961531,0.0.4138717@1732118417.596957156
0.0.1427613,12.91938368957509,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118418.999460678
0.0.1097257,116.4451682120129,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964795&0.0.3964800&0.0.3964804&0.0.3964808&0.0.3964809&0.0.3964821&0.0.3964825&0.0.3964837&0.0.3964860&0.0.3964840,0.0.4138717@1732118418.801736538
0.0.896352,85.25360688733369,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804&0.0.4601632&0.0.6071041&0.0.6071119,0.0.4138717@1732118416.267970635
0.0.1088394,199.1221733790316,SUCCESS,hbar,0.0.3948521&0.0.3964790&0.0.3964804&0.0.3964860,0.0.4138717@1732118416.283980777
0.0.1339713,0.9352756472447324,SUCCESS,hbar,0.0.3948521,0.0.4138717@1732118417.557941056
0.0.6034631,6.750106666121111,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1732118419.910865232
0.0.6099825,5.852158018177398,SUCCESS,hbar,0.0.3948521&0.0.3964804,0.0.4138717@1732118419.064145763
0.0.5182107,0.602858536165957,SUCCESS,hbar,0.0.3948521&0.0.3951117&0.0.3964804,0.0.4138717@1732118422.349340373
